visitorid,event_rows,known_category_event_rows,unknown_category_event_rows,category_coverage,category_coverage_flag,zero_view_denominator,zero_known_category_denominator,view_event_rows,snapshot_id
172,38,36,2,0.9473684210526315,1,0,0,33,snapshot_20150919T025947Z
186,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
264,7,7,0,1.0,1,0,0,3,snapshot_20150919T025947Z
419,6,4,2,0.6666666666666666,1,0,0,4,snapshot_20150919T025947Z
539,7,7,0,1.0,1,0,0,4,snapshot_20150919T025947Z
627,19,19,0,1.0,1,0,0,17,snapshot_20150919T025947Z
795,16,12,4,0.75,1,0,0,14,snapshot_20150919T025947Z
914,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
964,8,8,0,1.0,1,0,0,6,snapshot_20150919T025947Z
1032,7,7,0,1.0,1,0,0,5,snapshot_20150919T025947Z
1636,3,0,3,0.0,0,0,1,2,snapshot_20150919T025947Z
1765,14,14,0,1.0,1,0,0,11,snapshot_20150919T025947Z
2019,32,31,1,0.96875,1,0,0,27,snapshot_20150919T025947Z
2133,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
2216,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
2242,19,18,1,0.9473684210526315,1,0,0,17,snapshot_20150919T025947Z
2468,4,0,4,0.0,0,0,1,2,snapshot_20150919T025947Z
2519,16,16,0,1.0,1,0,0,14,snapshot_20150919T025947Z
2598,5,5,0,1.0,1,0,0,2,snapshot_20150919T025947Z
2646,9,9,0,1.0,1,0,0,7,snapshot_20150919T025947Z
2807,5,5,0,1.0,1,0,0,4,snapshot_20150919T025947Z
3048,2,0,2,0.0,0,1,1,0,snapshot_20150919T025947Z
3104,48,35,13,0.7291666666666666,1,0,0,44,snapshot_20150919T025947Z
3171,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
3174,5,4,1,0.8,1,0,0,3,snapshot_20150919T025947Z
3251,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
3258,26,26,0,1.0,1,0,0,18,snapshot_20150919T025947Z
3404,8,8,0,1.0,1,0,0,6,snapshot_20150919T025947Z
3465,8,8,0,1.0,1,0,0,2,snapshot_20150919T025947Z
3581,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
3847,5,5,0,1.0,1,0,0,3,snapshot_20150919T025947Z
3896,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
3926,14,11,3,0.7857142857142857,1,0,0,8,snapshot_20150919T025947Z
3936,17,17,0,1.0,1,0,0,14,snapshot_20150919T025947Z
4061,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
4101,26,11,15,0.4230769230769231,1,0,0,18,snapshot_20150919T025947Z
4113,17,13,4,0.7647058823529411,1,0,0,15,snapshot_20150919T025947Z
4115,8,8,0,1.0,1,0,0,4,snapshot_20150919T025947Z
4241,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
4368,10,10,0,1.0,1,0,0,8,snapshot_20150919T025947Z
4537,10,9,1,0.9,1,0,0,5,snapshot_20150919T025947Z
4606,7,3,4,0.42857142857142855,1,0,0,3,snapshot_20150919T025947Z
4694,6,4,2,0.6666666666666666,1,0,0,2,snapshot_20150919T025947Z
4899,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
5042,13,13,0,1.0,1,0,0,7,snapshot_20150919T025947Z
5061,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
5117,11,9,2,0.8181818181818182,1,0,0,9,snapshot_20150919T025947Z
5207,12,12,0,1.0,1,0,0,10,snapshot_20150919T025947Z
5423,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
5703,10,10,0,1.0,1,0,0,6,snapshot_20150919T025947Z
5939,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
6029,29,0,29,0.0,0,0,1,27,snapshot_20150919T025947Z
6190,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
6265,1,1,0,1.0,1,1,0,0,snapshot_20150919T025947Z
6390,3,3,0,1.0,1,1,0,0,snapshot_20150919T025947Z
6431,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
6468,18,18,0,1.0,1,0,0,10,snapshot_20150919T025947Z
6618,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
6699,104,0,104,0.0,0,0,1,92,snapshot_20150919T025947Z
6750,9,9,0,1.0,1,0,0,7,snapshot_20150919T025947Z
6855,4,4,0,1.0,1,0,0,2,snapshot_20150919T025947Z
6911,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
6952,14,14,0,1.0,1,0,0,8,snapshot_20150919T025947Z
6955,3,3,0,1.0,1,0,0,1,snapshot_20150919T025947Z
6958,266,266,0,1.0,1,0,0,77,snapshot_20150919T025947Z
7016,9,7,2,0.7777777777777778,1,0,0,5,snapshot_20150919T025947Z
7244,4,4,0,1.0,1,0,0,1,snapshot_20150919T025947Z
7330,5,0,5,0.0,0,0,1,3,snapshot_20150919T025947Z
7633,6,6,0,1.0,1,0,0,4,snapshot_20150919T025947Z
7773,2,2,0,1.0,1,0,0,1,snapshot_20150919T025947Z
7969,17,5,12,0.29411764705882354,1,0,0,15,snapshot_20150919T025947Z
8043,10,10,0,1.0,1,0,0,6,snapshot_20150919T025947Z
8083,8,8,0,1.0,1,0,0,6,snapshot_20150919T025947Z
8314,2,0,2,0.0,0,0,1,1,snapshot_20150919T025947Z
8411,11,11,0,1.0,1,0,0,7,snapshot_20150919T025947Z
8516,9,6,3,0.6666666666666666,1,0,0,7,snapshot_20150919T025947Z
8670,12,12,0,1.0,1,0,0,10,snapshot_20150919T025947Z
8731,9,9,0,1.0,1,0,0,5,snapshot_20150919T025947Z
8876,3,0,3,0.0,0,0,1,1,snapshot_20150919T025947Z
8914,38,9,29,0.23684210526315788,1,0,0,35,snapshot_20150919T025947Z
9079,8,8,0,1.0,1,0,0,4,snapshot_20150919T025947Z
