visitorid,purchase_recency_days,purchase_occasion_count,purchase_event_count,snapshot_id
172,35.06303358796296,1,2,snapshot_20150919T025947Z
186,37.433920694444446,1,1,snapshot_20150919T025947Z
264,11.392385185185185,1,2,snapshot_20150919T025947Z
419,51.914295057870376,1,1,snapshot_20150919T025947Z
539,94.88899438657408,1,1,snapshot_20150919T025947Z
627,29.257765000000003,1,1,snapshot_20150919T025947Z
795,39.20671229166666,1,1,snapshot_20150919T025947Z
914,32.089582835648145,1,1,snapshot_20150919T025947Z
964,66.30230600694445,1,1,snapshot_20150919T025947Z
1032,84.31316119212963,1,1,snapshot_20150919T025947Z
1636,134.04073378472222,1,1,snapshot_20150919T025947Z
1765,89.02790363425926,1,1,snapshot_20150919T025947Z
2019,107.21153730324075,1,2,snapshot_20150919T025947Z
2133,123.16357480324073,1,1,snapshot_20150919T025947Z
2216,73.2998065162037,1,1,snapshot_20150919T025947Z
2242,95.96980952546296,1,1,snapshot_20150919T025947Z
2468,137.01978483796296,1,1,snapshot_20150919T025947Z
2519,3.828805185185185,1,1,snapshot_20150919T025947Z
2598,68.26624542824075,1,1,snapshot_20150919T025947Z
2646,52.99820231481481,1,1,snapshot_20150919T025947Z
2807,6.4555059027777775,1,1,snapshot_20150919T025947Z
3048,8.176217523148148,1,1,snapshot_20150919T025947Z
3104,119.87957196759258,1,2,snapshot_20150919T025947Z
3171,39.162794606481484,1,1,snapshot_20150919T025947Z
3174,29.46730561342593,1,1,snapshot_20150919T025947Z
3251,57.40338540509259,1,1,snapshot_20150919T025947Z
3258,88.33001693287038,1,2,snapshot_20150919T025947Z
3404,50.031480474537034,1,1,snapshot_20150919T025947Z
3465,95.05698020833333,1,3,snapshot_20150919T025947Z
3581,6.4637030555555555,1,1,snapshot_20150919T025947Z
3847,100.00184427083335,1,1,snapshot_20150919T025947Z
3896,80.29263726851852,1,1,snapshot_20150919T025947Z
3926,94.09661351851851,2,3,snapshot_20150919T025947Z
3936,26.012758078703705,1,1,snapshot_20150919T025947Z
4061,125.29517241898148,1,1,snapshot_20150919T025947Z
4101,121.10234385416666,1,4,snapshot_20150919T025947Z
4113,63.41090155092593,1,1,snapshot_20150919T025947Z
4115,83.31054793981481,1,1,snapshot_20150919T025947Z
4241,99.37974685185186,1,1,snapshot_20150919T025947Z
4368,47.384652071759255,1,1,snapshot_20150919T025947Z
4537,12.06498582175926,2,2,snapshot_20150919T025947Z
4606,123.36371958333332,1,2,snapshot_20150919T025947Z
4694,94.9132363425926,1,2,snapshot_20150919T025947Z
4899,128.52469042824075,1,1,snapshot_20150919T025947Z
5042,68.40232894675925,3,3,snapshot_20150919T025947Z
5061,46.25626087962963,1,1,snapshot_20150919T025947Z
5117,101.88127649305557,1,1,snapshot_20150919T025947Z
5207,3.054299594907407,1,1,snapshot_20150919T025947Z
5423,41.156184155092596,1,1,snapshot_20150919T025947Z
5703,53.24759454861111,1,2,snapshot_20150919T025947Z
5939,9.909918773148148,1,1,snapshot_20150919T025947Z
6029,137.3615220486111,1,1,snapshot_20150919T025947Z
6190,132.42570091435186,1,1,snapshot_20150919T025947Z
6265,59.75427105324074,1,1,snapshot_20150919T025947Z
6390,41.49180096064815,1,1,snapshot_20150919T025947Z
6431,53.404879189814814,1,1,snapshot_20150919T025947Z
6468,42.36345561342593,1,4,snapshot_20150919T025947Z
6618,27.258718460648147,1,1,snapshot_20150919T025947Z
6699,134.00064597222223,4,4,snapshot_20150919T025947Z
6750,4.953994328703703,1,1,snapshot_20150919T025947Z
6855,52.346653125,1,1,snapshot_20150919T025947Z
6911,30.324339710648147,1,1,snapshot_20150919T025947Z
6952,9.401867638888888,1,3,snapshot_20150919T025947Z
6955,71.86049181712963,1,1,snapshot_20150919T025947Z
6958,71.07001699074074,1,4,snapshot_20150919T025947Z
7016,94.11360680555555,1,2,snapshot_20150919T025947Z
7244,78.30468505787037,1,1,snapshot_20150919T025947Z
7330,121.30299471064815,1,1,snapshot_20150919T025947Z
7633,1.995526446759259,1,1,snapshot_20150919T025947Z
7773,15.057966157407408,1,1,snapshot_20150919T025947Z
7969,114.1315627662037,1,1,snapshot_20150919T025947Z
8043,29.23602773148148,2,2,snapshot_20150919T025947Z
8083,2.435520162037037,1,1,snapshot_20150919T025947Z
8314,137.3209758912037,1,1,snapshot_20150919T025947Z
8411,7.133912523148148,2,2,snapshot_20150919T025947Z
8516,95.2558510763889,1,1,snapshot_20150919T025947Z
8670,30.458550844907407,1,1,snapshot_20150919T025947Z
8731,93.24851736111111,2,2,snapshot_20150919T025947Z
8876,135.14097515046296,1,1,snapshot_20150919T025947Z
8914,129.40669053240742,1,1,snapshot_20150919T025947Z
9079,31.01936681712963,1,2,snapshot_20150919T025947Z
9099,88.80499534722223,1,1,snapshot_20150919T025947Z
9145,8.386096990740741,2,3,snapshot_20150919T025947Z
9155,23.844014965277776,1,1,snapshot_20150919T025947Z
9235,69.83044398148148,1,1,snapshot_20150919T025947Z
9498,6.141966782407408,1,1,snapshot_20150919T025947Z
9519,52.94081267361111,1,1,snapshot_20150919T025947Z
10023,55.87679697916666,1,2,snapshot_20150919T025947Z
10248,67.92042166666667,1,1,snapshot_20150919T025947Z
10443,123.23174090277779,1,1,snapshot_20150919T025947Z
10539,120.02431704861112,1,1,snapshot_20150919T025947Z
10560,136.83937732638887,1,1,snapshot_20150919T025947Z
10685,42.15432960648148,1,1,snapshot_20150919T025947Z
11172,2.2607185185185186,1,1,snapshot_20150919T025947Z
11209,37.18752755787037,1,4,snapshot_20150919T025947Z
11248,115.35988498842592,3,3,snapshot_20150919T025947Z
11287,73.13048616898148,1,1,snapshot_20150919T025947Z
11333,77.08320733796296,2,2,snapshot_20150919T025947Z
11438,3.2368834375,1,1,snapshot_20150919T025947Z
11462,71.97361804398149,1,1,snapshot_20150919T025947Z
11508,91.37355942129629,1,1,snapshot_20150919T025947Z
12046,118.45012802083335,1,1,snapshot_20150919T025947Z
12067,28.89355357638889,1,1,snapshot_20150919T025947Z
12134,2.9981333680555555,1,1,snapshot_20150919T025947Z
12148,108.46649033564816,1,3,snapshot_20150919T025947Z
12295,91.24347554398148,1,1,snapshot_20150919T025947Z
12356,50.932777928240746,1,1,snapshot_20150919T025947Z
12506,60.4026825462963,2,2,snapshot_20150919T025947Z
12579,134.45944421296298,1,2,snapshot_20150919T025947Z
13151,88.1087447337963,1,3,snapshot_20150919T025947Z
13240,25.55692277777778,1,1,snapshot_20150919T025947Z
13455,83.08501222222222,2,3,snapshot_20150919T025947Z
13764,111.15436376157406,1,1,snapshot_20150919T025947Z
13833,27.10786325231481,2,3,snapshot_20150919T025947Z
14618,59.34452722222222,1,1,snapshot_20150919T025947Z
14796,28.339931284722223,1,1,snapshot_20150919T025947Z
14885,72.12023084490741,1,1,snapshot_20150919T025947Z
14903,31.394585914351854,1,1,snapshot_20150919T025947Z
15218,65.35400076388889,1,1,snapshot_20150919T025947Z
15299,125.08444994212962,1,1,snapshot_20150919T025947Z
15318,53.250950312499995,1,1,snapshot_20150919T025947Z
15653,113.22761430555556,2,2,snapshot_20150919T025947Z
15852,44.78607976851852,1,1,snapshot_20150919T025947Z
16158,102.98439635416668,1,1,snapshot_20150919T025947Z
16357,121.99437138888888,1,1,snapshot_20150919T025947Z
16655,66.40121342592593,1,2,snapshot_20150919T025947Z
16766,55.32907141203703,1,1,snapshot_20150919T025947Z
16945,90.23654855324074,1,1,snapshot_20150919T025947Z
16975,84.51241793981481,1,1,snapshot_20150919T025947Z
17028,44.393248310185186,1,1,snapshot_20150919T025947Z
17067,66.45626395833334,1,1,snapshot_20150919T025947Z
17476,52.5137822337963,1,7,snapshot_20150919T025947Z
17569,127.22265760416667,1,1,snapshot_20150919T025947Z
17591,81.16956443287036,1,2,snapshot_20150919T025947Z
17629,19.978539189814814,2,2,snapshot_20150919T025947Z
17676,28.3524274537037,39,42,snapshot_20150919T025947Z
17746,115.46231,1,1,snapshot_20150919T025947Z
17800,116.1827206712963,1,1,snapshot_20150919T025947Z
17857,42.973735671296296,1,1,snapshot_20150919T025947Z
17970,7.195777511574074,1,1,snapshot_20150919T025947Z
18024,16.277100891203702,1,1,snapshot_20150919T025947Z
18029,135.20971818287038,1,1,snapshot_20150919T025947Z
18032,127.33823952546295,1,1,snapshot_20150919T025947Z
18060,128.44923123842594,1,1,snapshot_20150919T025947Z
18195,134.0667858101852,1,1,snapshot_20150919T025947Z
18197,75.25161616898149,1,1,snapshot_20150919T025947Z
18424,37.934625995370375,1,2,snapshot_20150919T025947Z
18573,47.111272766203705,1,3,snapshot_20150919T025947Z
18688,74.41902898148149,1,1,snapshot_20150919T025947Z
19052,11.074979282407407,1,1,snapshot_20150919T025947Z
19206,42.95448864583334,1,1,snapshot_20150919T025947Z
19268,33.064273391203706,1,1,snapshot_20150919T025947Z
19500,62.246693136574066,1,1,snapshot_20150919T025947Z
19506,22.28545869212963,1,1,snapshot_20150919T025947Z
19512,31.923025624999998,1,1,snapshot_20150919T025947Z
19832,72.64979675925926,1,1,snapshot_20150919T025947Z
19967,95.3126482175926,1,1,snapshot_20150919T025947Z
20099,125.52945299768518,1,1,snapshot_20150919T025947Z
20167,70.01000903935186,1,1,snapshot_20150919T025947Z
20389,79.27648952546296,1,1,snapshot_20150919T025947Z
20815,25.917369756944446,1,1,snapshot_20150919T025947Z
20984,18.256533368055557,1,1,snapshot_20150919T025947Z
21048,105.02759356481482,1,1,snapshot_20150919T025947Z
21070,73.26142497685186,1,1,snapshot_20150919T025947Z
21079,85.34036055555555,1,1,snapshot_20150919T025947Z
21302,108.31462211805555,1,1,snapshot_20150919T025947Z
21574,25.69895916666667,1,1,snapshot_20150919T025947Z
21610,119.65853912037036,1,3,snapshot_20150919T025947Z
21712,83.22484375,1,6,snapshot_20150919T025947Z
21976,95.280216875,1,1,snapshot_20150919T025947Z
22079,10.096826122685185,1,1,snapshot_20150919T025947Z
22090,109.16601737268519,1,1,snapshot_20150919T025947Z
22276,96.81219423611111,1,1,snapshot_20150919T025947Z
22596,108.2026613310185,1,1,snapshot_20150919T025947Z
22666,66.39057539351852,1,1,snapshot_20150919T025947Z
22778,33.52745962962963,1,1,snapshot_20150919T025947Z
22944,105.26844127314814,1,1,snapshot_20150919T025947Z
22990,110.18978526620371,3,11,snapshot_20150919T025947Z
22998,50.504227685185185,1,1,snapshot_20150919T025947Z
23076,77.2651979861111,2,2,snapshot_20150919T025947Z
23497,125.95332608796296,1,1,snapshot_20150919T025947Z
23645,35.38301262731482,1,1,snapshot_20150919T025947Z
23730,96.91224947916668,1,1,snapshot_20150919T025947Z
23964,134.27543024305555,1,1,snapshot_20150919T025947Z
24067,66.38431583333333,1,2,snapshot_20150919T025947Z
24142,88.06969506944445,1,1,snapshot_20150919T025947Z
24166,87.27093368055556,1,1,snapshot_20150919T025947Z
24409,47.08306203703704,1,2,snapshot_20150919T025947Z
24644,41.2289390625,1,1,snapshot_20150919T025947Z
24662,112.44511994212962,1,1,snapshot_20150919T025947Z
24688,18.3114815625,1,1,snapshot_20150919T025947Z
24722,85.90557025462962,1,3,snapshot_20150919T025947Z
24840,25.36572392361111,1,1,snapshot_20150919T025947Z
25040,136.05176039351852,1,1,snapshot_20150919T025947Z
25081,39.514464976851855,1,1,snapshot_20150919T025947Z
25094,25.110174467592593,1,1,snapshot_20150919T025947Z
25156,100.22943136574074,1,2,snapshot_20150919T025947Z
25481,104.07791965277777,1,1,snapshot_20150919T025947Z
25809,5.342387743055555,1,1,snapshot_20150919T025947Z
25896,10.299887210648148,1,2,snapshot_20150919T025947Z
25922,129.1131772800926,1,2,snapshot_20150919T025947Z
26032,38.26024238425926,1,1,snapshot_20150919T025947Z
26189,88.0342060763889,1,1,snapshot_20150919T025947Z
26533,115.43144456018518,1,3,snapshot_20150919T025947Z
26626,24.93720366898148,1,1,snapshot_20150919T025947Z
26761,76.44695318287037,1,1,snapshot_20150919T025947Z
26872,97.90041844907407,1,1,snapshot_20150919T025947Z
26923,94.35292444444445,1,1,snapshot_20150919T025947Z
27197,67.35036420138889,1,1,snapshot_20150919T025947Z
27326,63.24306724537037,1,1,snapshot_20150919T025947Z
27360,67.29184949074074,1,1,snapshot_20150919T025947Z
27695,56.62930613425926,2,3,snapshot_20150919T025947Z
27851,29.380044074074075,1,4,snapshot_20150919T025947Z
28085,51.27852439814815,1,1,snapshot_20150919T025947Z
28161,114.85277100694444,1,1,snapshot_20150919T025947Z
28308,78.53855274305556,1,1,snapshot_20150919T025947Z
28387,15.21720601851852,1,1,snapshot_20150919T025947Z
28524,93.45995346064815,1,1,snapshot_20150919T025947Z
28791,2.255284861111111,1,1,snapshot_20150919T025947Z
28797,52.29925788194444,1,1,snapshot_20150919T025947Z
28896,71.41524627314814,1,1,snapshot_20150919T025947Z
29529,22.121297569444447,1,1,snapshot_20150919T025947Z
29531,113.30010582175925,1,1,snapshot_20150919T025947Z
29659,120.03380425925926,1,1,snapshot_20150919T025947Z
29744,4.512118900462963,1,2,snapshot_20150919T025947Z
29757,30.957256064814818,1,1,snapshot_20150919T025947Z
29802,3.5426871064814818,3,3,snapshot_20150919T025947Z
29835,50.314945891203706,1,1,snapshot_20150919T025947Z
30374,51.13998314814815,2,2,snapshot_20150919T025947Z
30438,60.247622928240744,1,1,snapshot_20150919T025947Z
30633,73.39191831018518,1,1,snapshot_20150919T025947Z
30687,3.2587024768518513,1,1,snapshot_20150919T025947Z
30812,84.32351976851852,1,1,snapshot_20150919T025947Z
30824,122.39376920138889,1,1,snapshot_20150919T025947Z
31149,85.29205207175926,1,1,snapshot_20150919T025947Z
31236,110.32144221064816,1,1,snapshot_20150919T025947Z
31314,90.23833315972223,1,1,snapshot_20150919T025947Z
31359,30.094589189814815,1,1,snapshot_20150919T025947Z
31557,78.27284313657407,1,1,snapshot_20150919T025947Z
31613,110.16308863425925,1,1,snapshot_20150919T025947Z
31645,45.96328484953704,1,3,snapshot_20150919T025947Z
31677,22.29293329861111,1,1,snapshot_20150919T025947Z
31741,58.03061322916667,1,2,snapshot_20150919T025947Z
31798,32.87189584490741,2,2,snapshot_20150919T025947Z
31843,125.73391016203703,1,1,snapshot_20150919T025947Z
31874,29.28103540509259,1,1,snapshot_20150919T025947Z
31929,68.29192228009259,1,1,snapshot_20150919T025947Z
31936,1.3589865393518519,1,1,snapshot_20150919T025947Z
32119,120.03455024305556,1,1,snapshot_20150919T025947Z
32160,105.32496993055557,2,2,snapshot_20150919T025947Z
32358,29.918825,1,1,snapshot_20150919T025947Z
32378,115.97173297453703,1,2,snapshot_20150919T025947Z
32432,77.28983608796297,1,1,snapshot_20150919T025947Z
32596,49.281037743055556,1,1,snapshot_20150919T025947Z
32787,99.87589872685186,1,2,snapshot_20150919T025947Z
32895,22.300085763888887,2,2,snapshot_20150919T025947Z
32904,93.39399769675926,1,1,snapshot_20150919T025947Z
33196,106.4855036689815,1,3,snapshot_20150919T025947Z
33308,95.014695,1,1,snapshot_20150919T025947Z
33350,34.94017934027778,1,1,snapshot_20150919T025947Z
33571,106.81647853009258,1,1,snapshot_20150919T025947Z
33608,20.259023136574072,1,1,snapshot_20150919T025947Z
33717,58.25757415509259,1,1,snapshot_20150919T025947Z
33889,65.34896263888889,1,1,snapshot_20150919T025947Z
33895,52.4291802662037,1,1,snapshot_20150919T025947Z
33946,70.28465078703704,1,2,snapshot_20150919T025947Z
34059,29.480816851851852,1,1,snapshot_20150919T025947Z
34157,18.007444305555556,1,1,snapshot_20150919T025947Z
34200,24.518541377314815,1,1,snapshot_20150919T025947Z
34381,73.88302377314814,1,1,snapshot_20150919T025947Z
34519,36.203128425925925,1,2,snapshot_20150919T025947Z
34570,50.00356047453704,1,1,snapshot_20150919T025947Z
34598,103.79828168981483,2,2,snapshot_20150919T025947Z
34630,69.15667333333333,1,1,snapshot_20150919T025947Z
34648,109.4279885300926,1,1,snapshot_20150919T025947Z
34665,88.49246565972221,2,2,snapshot_20150919T025947Z
34667,81.96104405092593,1,1,snapshot_20150919T025947Z
34705,44.34312090277778,1,1,snapshot_20150919T025947Z
34825,55.39516508101852,1,1,snapshot_20150919T025947Z
34850,17.212311180555556,1,1,snapshot_20150919T025947Z
34923,51.09062664351852,1,1,snapshot_20150919T025947Z
34951,137.37853936342594,2,4,snapshot_20150919T025947Z
34955,56.42631649305556,1,1,snapshot_20150919T025947Z
35112,102.93462931712962,1,1,snapshot_20150919T025947Z
35157,31.371230358796293,1,1,snapshot_20150919T025947Z
