visitorid,purchase_recency_days,purchase_occasion_count,purchase_event_count,total_events,active_days,cart_per_view,transaction_per_view,activity_span_days,mean_interevent_hours,session_count_30m,distinct_top_categories,top_category_share,snapshot_id,category_coverage_flag
172,35.06303358796296,1,2,38,3,0.09090909090909091,0.06060606060606061,31.915104710648144,20.70168954204204,4,1,1.0,snapshot_20150919T025947Z,1
186,37.433920694444446,1,1,4,1,0.5,0.5,0.27171090277777776,2.173687222222222,3,1,1.0,snapshot_20150919T025947Z,1
264,11.392385185185185,1,2,7,1,0.6666666666666666,0.6666666666666666,0.017741643518518518,0.07096657407407407,1,1,1.0,snapshot_20150919T025947Z,1
419,51.914295057870376,1,1,6,1,0.25,0.25,0.08710577546296297,0.4181077222222222,3,1,1.0,snapshot_20150919T025947Z,1
539,94.88899438657408,1,1,7,1,0.5,0.25,0.44016737268518524,1.7606694907407408,2,1,1.0,snapshot_20150919T025947Z,1
627,29.257765000000003,1,1,19,1,0.058823529411764705,0.058823529411764705,0.16044875,0.2139316666666667,2,2,0.5263157894736842,snapshot_20150919T025947Z,1
795,39.20671229166666,1,1,16,5,0.07142857142857142,0.07142857142857142,14.03047861111111,22.44876577777778,9,4,0.75,snapshot_20150919T025947Z,1
914,32.089582835648145,1,1,3,1,1.0,1.0,0.0034844560185185187,0.04181347222222222,1,1,1.0,snapshot_20150919T025947Z,1
964,66.30230600694445,1,1,8,1,0.16666666666666666,0.16666666666666666,0.023874756944444443,0.08185630952380953,1,1,1.0,snapshot_20150919T025947Z,1
1032,84.31316119212963,1,1,7,2,0.2,0.2,32.17527767361111,128.70111069444445,4,2,0.8571428571428571,snapshot_20150919T025947Z,1
1636,134.04073378472222,1,1,3,1,0.0,0.5,0.011849131944444445,0.14218958333333334,1,0,0.0,snapshot_20150919T025947Z,0
1765,89.02790363425926,1,1,14,4,0.18181818181818182,0.09090909090909091,8.969005474537036,16.558163952991453,7,1,1.0,snapshot_20150919T025947Z,1
2019,107.21153730324075,1,2,32,4,0.1111111111111111,0.07407407407407407,34.27264873842592,26.53366353942652,6,2,0.9354838709677419,snapshot_20150919T025947Z,1
2133,123.16357480324073,1,1,3,1,1.0,1.0,0.002548738425925926,0.03058486111111111,1,0,0.0,snapshot_20150919T025947Z,0
2216,73.2998065162037,1,1,5,1,0.3333333333333333,0.3333333333333333,0.06449612268518519,0.3869767361111111,2,1,1.0,snapshot_20150919T025947Z,1
2242,95.96980952546296,1,1,19,5,0.058823529411764705,0.058823529411764705,10.220577581018519,13.627436774691358,7,1,1.0,snapshot_20150919T025947Z,1
2468,137.01978483796296,1,1,4,1,0.5,0.5,0.0015780092592592593,0.012624074074074074,1,0,0.0,snapshot_20150919T025947Z,0
2519,3.828805185185185,1,1,16,3,0.07142857142857142,0.07142857142857142,9.370803541666666,14.993285666666663,3,1,1.0,snapshot_20150919T025947Z,1
2598,68.26624542824075,1,1,5,1,1.0,0.5,0.005958680555555556,0.03575208333333333,1,1,1.0,snapshot_20150919T025947Z,1
2646,52.99820231481481,1,1,9,1,0.14285714285714285,0.14285714285714285,0.5311894791666667,1.5935684375,2,1,1.0,snapshot_20150919T025947Z,1
2807,6.4555059027777775,1,1,5,1,0.0,0.25,0.011473368055555556,0.06884020833333333,1,1,1.0,snapshot_20150919T025947Z,1
3048,8.176217523148148,1,1,2,1,0.0,0.0,0.0005751157407407407,0.013802777777777777,1,0,0.0,snapshot_20150919T025947Z,0
3104,119.87957196759258,1,2,48,3,0.045454545454545456,0.045454545454545456,4.2091705439814815,2.1493636820330972,3,1,1.0,snapshot_20150919T025947Z,1
3171,39.162794606481484,1,1,4,1,0.5,0.5,0.004759328703703704,0.03807462962962963,1,1,1.0,snapshot_20150919T025947Z,1
3174,29.46730561342593,1,1,5,2,0.3333333333333333,0.3333333333333333,0.6777252777777778,4.066351666666667,3,1,1.0,snapshot_20150919T025947Z,1
3251,57.40338540509259,1,1,3,1,1.0,1.0,0.007808958333333333,0.0937075,1,1,1.0,snapshot_20150919T025947Z,1
3258,88.33001693287038,1,2,26,2,0.3333333333333333,0.1111111111111111,0.792798761574074,0.7610868111111111,4,1,1.0,snapshot_20150919T025947Z,1
3404,50.031480474537034,1,1,8,3,0.16666666666666666,0.16666666666666666,6.339539722222222,21.735564761904758,3,1,1.0,snapshot_20150919T025947Z,1
3465,95.05698020833333,1,3,8,1,1.5,1.5,0.004979722222222222,0.017073333333333333,1,1,1.0,snapshot_20150919T025947Z,1
3581,6.4637030555555555,1,1,3,1,1.0,1.0,0.002862210648148148,0.034346527777777774,1,1,1.0,snapshot_20150919T025947Z,1
3847,100.00184427083335,1,1,5,2,0.3333333333333333,0.3333333333333333,17.72779202546296,106.36675215277778,3,2,0.8,snapshot_20150919T025947Z,1
3896,80.29263726851852,1,1,3,1,1.0,1.0,0.008780023148148148,0.10536027777777776,1,1,1.0,snapshot_20150919T025947Z,1
3926,94.09661351851851,2,3,14,3,0.375,0.375,77.03975202546296,142.22723450854699,3,1,1.0,snapshot_20150919T025947Z,1
3936,26.012758078703705,1,1,17,3,0.14285714285714285,0.07142857142857142,1.905177997685185,2.857766996527778,5,1,1.0,snapshot_20150919T025947Z,1
4061,125.29517241898148,1,1,4,1,0.5,0.5,0.055924120370370374,0.44739296296296294,2,1,1.0,snapshot_20150919T025947Z,1
4101,121.10234385416666,1,4,26,1,0.2222222222222222,0.2222222222222222,0.04674767361111111,0.04487776666666666,1,2,0.9090909090909091,snapshot_20150919T025947Z,1
4113,63.41090155092593,1,1,17,4,0.06666666666666667,0.06666666666666667,5.167773206018518,7.751659809027778,6,1,1.0,snapshot_20150919T025947Z,1
4115,83.31054793981481,1,1,8,1,0.75,0.25,0.01803011574074074,0.06181753968253968,1,1,1.0,snapshot_20150919T025947Z,1
4241,99.37974685185186,1,1,3,1,1.0,1.0,0.0008208333333333334,0.00985,1,1,1.0,snapshot_20150919T025947Z,1
4368,47.384652071759255,1,1,10,4,0.125,0.125,6.009578252314815,16.02554200617284,8,1,1.0,snapshot_20150919T025947Z,1
4537,12.06498582175926,2,2,10,3,0.6,0.4,116.00173673611111,309.33796462962965,3,1,1.0,snapshot_20150919T025947Z,1
4606,123.36371958333332,1,2,7,1,0.6666666666666666,0.6666666666666666,0.035315,0.14126,1,1,1.0,snapshot_20150919T025947Z,1
4694,94.9132363425926,1,2,6,1,1.0,1.0,0.01190875,0.05716199999999999,1,1,1.0,snapshot_20150919T025947Z,1
4899,128.52469042824075,1,1,6,1,0.25,0.25,0.027893460648148148,0.1338886111111111,1,1,1.0,snapshot_20150919T025947Z,1
5042,68.40232894675925,3,3,13,1,0.42857142857142855,0.42857142857142855,0.05795310185185185,0.1159062037037037,1,3,0.6923076923076923,snapshot_20150919T025947Z,1
5061,46.25626087962963,1,1,3,1,1.0,1.0,0.003850266203703704,0.04620319444444445,1,1,1.0,snapshot_20150919T025947Z,1
5117,101.88127649305557,1,1,11,6,0.1111111111111111,0.1111111111111111,35.73786097222222,85.77086633333333,7,2,0.8888888888888888,snapshot_20150919T025947Z,1
5207,3.054299594907407,1,1,12,2,0.1,0.1,0.9724148726851852,2.1216324494949497,3,1,1.0,snapshot_20150919T025947Z,1
5423,41.156184155092596,1,1,3,1,1.0,1.0,0.0041030902777777776,0.04923708333333333,1,1,1.0,snapshot_20150919T025947Z,1
5703,53.24759454861111,1,2,10,1,0.3333333333333333,0.3333333333333333,0.15326721064814816,0.4087125617283951,3,1,1.0,snapshot_20150919T025947Z,1
5939,9.909918773148148,1,1,4,2,0.5,0.5,1.9813978009259259,15.851182407407407,2,1,1.0,snapshot_20150919T025947Z,1
6029,137.3615220486111,1,1,29,1,0.037037037037037035,0.037037037037037035,0.6417399305555556,0.5500627976190476,2,0,0.0,snapshot_20150919T025947Z,0
6190,132.42570091435186,1,1,3,1,1.0,1.0,0.015020092592592594,0.18024111111111113,1,0,0.0,snapshot_20150919T025947Z,0
6265,59.75427105324074,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1.0,snapshot_20150919T025947Z,1
6390,41.49180096064815,1,1,3,2,0.0,0.0,2.7675421064814816,33.21050527777777,2,1,1.0,snapshot_20150919T025947Z,1
6431,53.404879189814814,1,1,4,1,0.5,0.5,0.011909340277777779,0.09527472222222222,1,1,1.0,snapshot_20150919T025947Z,1
6468,42.36345561342593,1,4,18,3,0.4,0.4,10.983646157407408,15.506323986928104,3,1,1.0,snapshot_20150919T025947Z,1
6618,27.258718460648147,1,1,4,1,0.5,0.5,0.009302476851851852,0.07441981481481481,1,1,1.0,snapshot_20150919T025947Z,1
6699,134.00064597222223,4,4,104,2,0.08695652173913043,0.043478260869565216,0.2296118287037037,0.053501785329018337,3,0,0.0,snapshot_20150919T025947Z,0
6750,4.953994328703703,1,1,9,1,0.14285714285714285,0.14285714285714285,0.5969764351851852,1.7909293055555555,4,1,1.0,snapshot_20150919T025947Z,1
6855,52.346653125,1,1,4,1,0.5,0.5,0.46407196759259256,3.7125757407407405,2,1,1.0,snapshot_20150919T025947Z,1
6911,30.324339710648147,1,1,3,1,1.0,1.0,0.0017605092592592594,0.02112611111111111,1,1,1.0,snapshot_20150919T025947Z,1
6952,9.401867638888888,1,3,14,1,0.375,0.375,0.03465380787037037,0.06397626068376067,2,2,0.7857142857142857,snapshot_20150919T025947Z,1
6955,71.86049181712963,1,1,3,1,1.0,1.0,0.013743101851851852,0.16491722222222222,1,1,1.0,snapshot_20150919T025947Z,1
6958,71.07001699074074,1,4,266,6,2.4025974025974026,0.05194805194805195,14.01789675925926,1.2695453668763104,11,3,0.9511278195488722,snapshot_20150919T025947Z,1
7016,94.11360680555555,1,2,9,2,0.4,0.4,0.7478304166666667,2.24349125,3,2,0.8571428571428571,snapshot_20150919T025947Z,1
7244,78.30468505787037,1,1,4,1,2.0,1.0,0.013990497685185186,0.11192398148148149,1,1,1.0,snapshot_20150919T025947Z,1
7330,121.30299471064815,1,1,5,2,0.3333333333333333,0.3333333333333333,1.0671991087962962,6.403194652777778,2,0,0.0,snapshot_20150919T025947Z,0
7633,1.995526446759259,1,1,6,1,0.25,0.25,0.006019837962962963,0.02889522222222222,1,1,1.0,snapshot_20150919T025947Z,1
7773,15.057966157407408,1,1,2,1,0.0,1.0,0.0013803935185185186,0.03312944444444445,1,1,1.0,snapshot_20150919T025947Z,1
7969,114.1315627662037,1,1,17,4,0.06666666666666667,0.06666666666666667,5.929234016203704,8.893851024305555,5,2,0.8,snapshot_20150919T025947Z,1
8043,29.23602773148148,2,2,10,3,0.3333333333333333,0.3333333333333333,29.91830853009259,79.78215608024692,3,2,0.9,snapshot_20150919T025947Z,1
8083,2.435520162037037,1,1,8,3,0.16666666666666666,0.16666666666666666,12.08616238425926,41.438271031746034,4,1,1.0,snapshot_20150919T025947Z,1
8314,137.3209758912037,1,1,2,1,0.0,1.0,0.0011326851851851851,0.027184444444444445,1,0,0.0,snapshot_20150919T025947Z,0
