representation,split_or_config,cluster_id,non_noise_cluster_size,non_noise_cluster_share,category_coverage_rate,size_gate,share_gate,coverage_gate,distinguishable_condition_count,distinguishable_features,feature_effects_iqr,addressable,rule_version
compact,selected_classix,0,1063,0.09070739824217083,1.0,True,True,True,0,[],"{""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.06973098415130857}",False,addressability_v1
compact,selected_classix,1,10656,0.9092926017578291,1.0,True,True,True,0,[],"{""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.003248561518249479}",False,addressability_v1
compact,selected_kmeans,0,1344,0.11468555337486133,1.0,True,True,True,0,[],"{""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.032497647921987484}",False,addressability_v1
compact,selected_kmeans,1,7784,0.6642204966294052,1.0,True,True,True,0,[],"{""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.22838380308232364}",False,addressability_v1
compact,selected_kmeans,2,97,0.008277156753989249,1.0,True,False,True,0,[],"{""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.1870432023119001}",False,addressability_v1
compact,selected_kmeans,3,2494,0.21281679324174418,1.0,True,True,True,1,"[""purchase_recency_days""]","{""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.7981531839735665}",False,addressability_v1
rich,selected_classix,576,33,0.0028693157116772457,1.0,False,False,True,5,"[""active_days"",""activity_span_days"",""session_count_30m"",""top_category_share"",""total_events""]","{""active_days"":11.0,""activity_span_days"":3.5342082453223753,""cart_per_view"":0.33217040029379374,""distinct_top_categories"":0.0,""mean_interevent_hours"":0.019445407012208933,""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.21076964191206868,""session_count_30m"":17.0,""top_category_share"":3.8746594005449597,""total_events"":107.875,""transaction_per_view"":0.49862682120746643}",False,addressability_v1
rich,selected_classix,684,1137,0.0988609686114251,0.0,True,True,False,4,"[""purchase_recency_days"",""session_count_30m"",""top_category_share"",""transaction_per_view""]","{""active_days"":0.0,""activity_span_days"":0.009680094001334766,""cart_per_view"":0.21428571428571425,""distinct_top_categories"":0.0,""mean_interevent_hours"":0.015676524264770647,""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.8276735998566339,""session_count_30m"":0.5,""top_category_share"":6.000000000000002,""total_events"":0.25,""transaction_per_view"":0.5714285714285715}",False,addressability_v1
rich,selected_classix,689,10331,0.8982697156768976,1.0,True,True,True,0,[],"{""active_days"":0.0,""activity_span_days"":0.0028049582198937813,""cart_per_view"":0.0,""distinct_top_categories"":0.0,""mean_interevent_hours"":0.005944650908905029,""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.0820845158790996,""session_count_30m"":0.0,""top_category_share"":0.0,""total_events"":0.0,""transaction_per_view"":0.09523809523809519}",False,addressability_v1
rich,selected_kmeans,0,6790,0.5794009727792474,1.0,True,True,True,2,"[""session_count_30m"",""transaction_per_view""]","{""active_days"":0.0,""activity_span_days"":0.009612860057138305,""cart_per_view"":0.21428571428571425,""distinct_top_categories"":0.0,""mean_interevent_hours"":0.016911315623213453,""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.12833244042098482,""session_count_30m"":0.5,""top_category_share"":0.0,""total_events"":0.125,""transaction_per_view"":0.5714285714285715}",True,addressability_v1
rich,selected_kmeans,1,3607,0.30779076713030123,0.9972276129747712,True,True,True,5,"[""active_days"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""total_events""]","{""active_days"":2.0,""activity_span_days"":2.709012236626738,""cart_per_view"":0.24725274725274737,""distinct_top_categories"":0.0,""mean_interevent_hours"":2.7537357419735957,""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.0024632086430659487,""session_count_30m"":1.0,""top_category_share"":0.0,""total_events"":0.875,""transaction_per_view"":0.39408866995073893}",False,addressability_v1
rich,selected_kmeans,2,166,0.014165031146002219,0.9879518072289156,True,True,True,6,"[""active_days"",""activity_span_days"",""session_count_30m"",""top_category_share"",""total_events"",""transaction_per_view""]","{""active_days"":10.0,""activity_span_days"":5.339543444300359,""cart_per_view"":0.3469263412030947,""distinct_top_categories"":0.0,""mean_interevent_hours"":0.07538106058991936,""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.13048796032968693,""session_count_30m"":13.0,""top_category_share"":3.5751879699248135,""total_events"":41.5625,""transaction_per_view"":0.5416036027670739}",False,addressability_v1
rich,selected_kmeans,3,1156,0.09864322894444918,0.0,True,True,False,4,"[""purchase_recency_days"",""session_count_30m"",""top_category_share"",""transaction_per_view""]","{""active_days"":0.0,""activity_span_days"":0.009676979417277612,""cart_per_view"":0.3857142857142858,""distinct_top_categories"":0.0,""mean_interevent_hours"":0.015794667888789922,""purchase_event_count"":0.0,""purchase_occasion_count"":0.0,""purchase_recency_days"":0.8289744494590987,""session_count_30m"":0.5,""top_category_share"":6.000000000000002,""total_events"":0.25,""transaction_per_view"":0.5714285714285715}",False,addressability_v1
