representation,summary_level,radius,minPts,group_merging,n_candidates,valid_internal_count,deployment_acceptable_count,mean_silhouette,max_silhouette,noise_fraction_min,noise_fraction_max
compact,radius_marginal,0.25,,,6,6,0,0.28871132106712255,0.3063532743110247,0.0,0.034559262735728305
compact,radius_marginal,0.3,,,6,6,0,0.2911247187173762,0.3198226326400587,0.0,0.03199931734789658
compact,radius_marginal,0.35,,,6,6,1,0.31676016535876567,0.3359512900124251,0.0,0.029268708934209405
compact,radius_marginal,0.4,,,6,6,1,0.3234480962376665,0.3360857663090051,0.0,0.028500725317859885
compact,radius_marginal,0.45,,,6,6,1,0.33214237698947846,0.34881121973796286,0.0,0.021759535796569675
compact,radius_marginal,0.5,,,6,6,2,0.3318608581556184,0.34978515470980737,0.0,0.021588872770714224
compact,radius_marginal,0.55,,,6,6,3,0.37288079928990325,0.42295349389458636,0.0,0.018090280740677533
compact,radius_marginal,0.6,,,6,6,2,0.36755262194152444,0.42542518806058816,0.0,0.015871661404556703
compact,radius_marginal,0.65,,,6,6,3,0.3778604403935035,0.4219873864957446,0.0,0.012287737861592285
compact,radius_marginal,0.7,,,6,6,3,0.3812058528899547,0.42480801178706734,0.0,0.010495776090110077
compact,radius_marginal,0.75,,,6,6,3,0.41917821861816223,0.5212007279151919,0.0,0.009215803396194214
compact,radius_marginal,0.8,,,6,6,4,0.46230765741560537,0.5203463992957764,0.0,0.006826521034217937
compact,radius_marginal,0.85,,,6,6,4,0.47777591571952444,0.5466359679490259,0.0,0.00588787439201297
compact,radius_marginal,0.9,,,6,6,4,0.4802203400233001,0.5473849530177494,0.0,0.005546548340302074
compact,radius_marginal,0.95,,,6,6,4,0.5022028962906672,0.5947455721748541,0.0,0.004778564723952556
compact,radius_marginal,1.0,,,6,5,2,0.55005053648555,0.7522888667559696,0.0,0.004522570185169383
compact,radius_marginal,1.05,,,6,6,2,0.6349259417685521,0.899490070629248,0.0,0.003754586568819865
compact,radius_marginal,1.1,,,6,6,2,0.632974623172312,0.897484535700111,0.0,0.0034985920300366923
compact,radius_marginal,1.15,,,6,4,2,0.5861141881355048,0.7625479624996458,0.0,0.003754586568819865
compact,radius_marginal,1.2,,,6,4,2,0.6166303457975604,0.7620134278205785,0.0,0.0029866029524703475
compact,radius_marginal,1.25,,,6,4,2,0.6159253151138369,0.7617562664210873,0.0,0.002474613874904002
compact,radius_marginal,1.3,,,6,4,2,0.6230786154465981,0.761116014715432,0.0,0.0022186193361208293
compact,radius_marginal,1.35,,,6,4,2,0.6230131644957375,0.7611161828088031,0.0,0.002133287823193105
compact,radius_marginal,1.4,,,6,4,2,0.6236577902628543,0.7619046484046759,0.0,0.002047956310265381
compact,radius_marginal,1.45,,,6,4,2,0.623461333193549,0.7621133335762755,0.0,0.002133287823193105
compact,radius_marginal,1.5,,,6,4,0,0.8088231279354218,0.8967244556388113,0.0,0.001962624797337657
compact,radius_marginal,1.55,,,6,4,0,0.8132887030540606,0.8966121931761513,0.0,0.0017919617714822083
compact,radius_marginal,1.6,,,6,4,0,0.8336246179736804,0.8964765622450572,0.0,0.0015359672326990357
compact,radius_marginal,1.65,,,6,2,0,0.7687667444894987,0.7761709228421931,0.0,0.0014506357197713116
compact,radius_marginal,1.7,,,6,2,0,0.7690921753313857,0.7761709228421931,0.0,0.0012799726939158632
compact,radius_marginal,1.75,,,6,2,0,0.7692476224440461,0.7764818170675138,0.0,0.0012799726939158632
compact,minPts_marginal,,1.0,,62,62,0,0.5313764947338713,0.7764818170675138,0.0,0.0
compact,minPts_marginal,,5.0,,62,46,23,0.47780898981074,0.899490070629248,0.0,0.02773274170151037
compact,minPts_marginal,,10.0,,62,45,32,0.47709278737984406,0.899490070629248,0.0,0.034559262735728305
compact,merging_marginal,,,density,93,87,33,0.47299193275147683,0.8967244556388113,0.0,0.034559262735728305
compact,merging_marginal,,,distance,93,66,22,0.5339914164774024,0.899490070629248,0.0,0.0
rich,radius_marginal,0.25,,,6,6,0,-0.020748498924195027,0.1304649899211582,0.0,0.28679921495008104
rich,radius_marginal,0.3,,,6,6,1,-0.0033724101723012954,0.20808313467825365,0.0,0.21904599368546804
rich,radius_marginal,0.35,,,6,6,1,-0.026082234790383834,0.2099979551648828,0.0,0.15871661404556703
rich,radius_marginal,0.4,,,6,6,1,0.006590581237465499,0.19488206107183473,0.0,0.12219472651250107
rich,radius_marginal,0.45,,,6,6,1,-0.007026286811309371,0.25286145778004376,0.0,0.08720880621213414
