representation,method,selection,candidate_id,cluster,cluster_is_noise,feature,n_customers,share_of_all_customers,share_of_non_noise_customers,median,q25,q75,global_median,iqr_effect
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,0,False,purchase_recency_days,21,0.0017919617714822083,0.0017919617714822083,46.14721792824074,6.154883391203704,76.17464332175926,71.89734398148147,-0.3844799488053005
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,0,False,purchase_occasion_count,21,0.0017919617714822083,0.0017919617714822083,93.0,81.0,148.0,1.0,
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,0,False,purchase_event_count,21,0.0017919617714822083,0.0017919617714822083,115.0,100.0,185.0,1.0,
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,1,False,purchase_recency_days,11698,0.9982080382285178,0.9982080382285178,71.91909699652777,38.29980896122685,105.24917529803241,71.89734398148147,0.0003247983366788214
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,1,False,purchase_occasion_count,11698,0.9982080382285178,0.9982080382285178,1.0,1.0,1.0,1.0,
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,1,False,purchase_event_count,11698,0.9982080382285178,0.9982080382285178,1.0,1.0,1.0,1.0,
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,0,False,purchase_recency_days,1063,0.09070739824217083,0.09070739824217083,67.22718722222221,34.450556122685185,104.13980611689814,71.89734398148147,-0.06973098415130857
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,0,False,purchase_occasion_count,1063,0.09070739824217083,0.09070739824217083,2.0,2.0,3.0,1.0,
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,0,False,purchase_event_count,1063,0.09070739824217083,0.09070739824217083,2.0,2.0,5.0,1.0,
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,1,False,purchase_recency_days,10656,0.9092926017578291,0.9092926017578291,72.11491285300926,38.44118563946759,105.27850008391205,71.89734398148147,0.003248561518249479
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,1,False,purchase_occasion_count,10656,0.9092926017578291,0.9092926017578291,1.0,1.0,1.0,1.0,
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,1,False,purchase_event_count,10656,0.9092926017578291,0.9092926017578291,1.0,1.0,1.0,1.0,
compact,kmeans,unconstrained_silhouette,kmeans_k02,0,False,purchase_recency_days,11593,0.9892482293711068,0.9892482293711068,71.94328099537037,38.37707736111111,105.26844127314814,71.89734398148147,0.0006858941471492694
compact,kmeans,unconstrained_silhouette,kmeans_k02,0,False,purchase_occasion_count,11593,0.9892482293711068,0.9892482293711068,1.0,1.0,1.0,1.0,
compact,kmeans,unconstrained_silhouette,kmeans_k02,0,False,purchase_event_count,11593,0.9892482293711068,0.9892482293711068,1.0,1.0,1.0,1.0,
compact,kmeans,unconstrained_silhouette,kmeans_k02,1,False,purchase_recency_days,126,0.01075177062889325,0.01075177062889325,60.66784117476852,25.34794436053241,99.69468698206019,71.89734398148147,-0.16766980694801692
compact,kmeans,unconstrained_silhouette,kmeans_k02,1,False,purchase_occasion_count,126,0.01075177062889325,0.01075177062889325,19.0,9.0,44.0,1.0,
compact,kmeans,unconstrained_silhouette,kmeans_k02,1,False,purchase_event_count,126,0.01075177062889325,0.01075177062889325,26.0,14.0,54.5,1.0,
compact,kmeans,deployment_acceptable,kmeans_k04,0,False,purchase_recency_days,1344,0.11468555337486133,0.11468555337486133,74.07383857638888,49.31644283564815,107.18501618344908,71.89734398148147,0.032497647921987484
compact,kmeans,deployment_acceptable,kmeans_k04,0,False,purchase_occasion_count,1344,0.11468555337486133,0.11468555337486133,2.0,1.0,2.0,1.0,
compact,kmeans,deployment_acceptable,kmeans_k04,0,False,purchase_event_count,1344,0.11468555337486133,0.11468555337486133,3.0,2.0,4.0,1.0,
compact,kmeans,deployment_acceptable,kmeans_k04,1,False,purchase_recency_days,7784,0.6642204966294052,0.6642204966294052,87.19310059027778,61.476406027199076,113.30459274305554,71.89734398148147,0.22838380308232364
compact,kmeans,deployment_acceptable,kmeans_k04,1,False,purchase_occasion_count,7784,0.6642204966294052,0.6642204966294052,1.0,1.0,1.0,1.0,
compact,kmeans,deployment_acceptable,kmeans_k04,1,False,purchase_event_count,7784,0.6642204966294052,0.6642204966294052,1.0,1.0,1.0,1.0,
compact,kmeans,deployment_acceptable,kmeans_k04,2,False,purchase_recency_days,97,0.008277156753989249,0.008277156753989249,59.37032910879629,25.10847679398148,96.17596,71.89734398148147,-0.1870432023119001
compact,kmeans,deployment_acceptable,kmeans_k04,2,False,purchase_occasion_count,97,0.008277156753989249,0.008277156753989249,28.0,13.0,56.0,1.0,
compact,kmeans,deployment_acceptable,kmeans_k04,2,False,purchase_event_count,97,0.008277156753989249,0.008277156753989249,38.0,18.0,67.0,1.0,
compact,kmeans,deployment_acceptable,kmeans_k04,3,False,purchase_recency_days,2494,0.21281679324174418,0.21281679324174418,18.441903298611113,9.818768041087964,26.98477776041667,71.89734398148147,-0.7981531839735665
compact,kmeans,deployment_acceptable,kmeans_k04,3,False,purchase_occasion_count,2494,0.21281679324174418,0.21281679324174418,1.0,1.0,1.0,1.0,
compact,kmeans,deployment_acceptable,kmeans_k04,3,False,purchase_event_count,2494,0.21281679324174418,0.21281679324174418,1.0,1.0,1.0,1.0,
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,purchase_recency_days,11716,0.9997440054612168,0.9997440054612168,71.89905976851853,38.25998609085648,105.23855350983796,71.89734398148147,2.5618737197807313e-05
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,purchase_occasion_count,11716,0.9997440054612168,0.9997440054612168,1.0,1.0,1.0,1.0,
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,purchase_event_count,11716,0.9997440054612168,0.9997440054612168,1.0,1.0,1.0,1.0,
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,total_events,11716,0.9997440054612168,0.9997440054612168,6.0,4.0,12.0,6.0,0.0
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,active_days,11716,0.9997440054612168,0.9997440054612168,1.0,1.0,2.0,1.0,0.0
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,cart_per_view,11716,0.9997440054612168,0.9997440054612168,0.25,0.1111111111111111,0.5,0.25,0.0
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,transaction_per_view,11716,0.9997440054612168,0.9997440054612168,0.2857142857142857,0.125,0.5,0.2857142857142857,0.0
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,activity_span_days,11716,0.9997440054612168,0.9997440054612168,0.0697795254629629,0.007149424189814725,5.926753197337963,0.0697286689814814,8.593709480156105e-06
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,mean_interevent_hours,11716,0.9997440054612168,0.9997440054612168,0.26325226851851846,0.0502980324074074,11.23545121527778,0.2632017592592592,4.517865187697683e-06
rich,classix,unconstrained_silhouette,classix_r1.75_m1_distance,0,False,session_count_30m,11716,0.9997440054612168,0.9997440054612168,2.0,1.0,3.0,2.0,0.0
