method,comparison,parameter_key,parameter_value,source_representation,target_representation,source_cluster,target_cluster_original,target_cluster_matched,n_customers,share_of_customers,migration_flag
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,0,0,1,507,0.043263077054356176,True
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,0,1,3,687,0.05862274938134653,True
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,0,2,2,67,0.005717211366157522,True
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,0,3,0,83,0.007082515573001109,False
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,1,0,1,4480,0.3822851779162045,False
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,1,1,3,2261,0.19293455072958443,True
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,1,2,2,1,8.53315129277242e-05,True
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,1,3,0,1042,0.08891543647068863,True
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,2,2,2,97,0.008277156753989249,False
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,3,0,1,1803,0.15385271780868676,True
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,3,1,3,659,0.05623346701937025,False
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,3,2,2,1,8.53315129277242e-05,True
kmeans,independent_deployment_selection,independent_candidate_ids,"{""compact"":""kmeans_k04"",""rich"":""kmeans_k04""}",compact,rich,3,3,0,31,0.0026452769007594503,True
classix,independent_deployment_selection,independent_candidate_ids,"{""compact"":""classix_r0.95_m10_distance"",""rich"":""classix_r0.75_m10_density""}",compact,rich,0,-1,-1,115,0.009813123986688283,True
classix,independent_deployment_selection,independent_candidate_ids,"{""compact"":""classix_r0.95_m10_distance"",""rich"":""classix_r0.75_m10_density""}",compact,rich,0,576,-2,33,0.002815939926614899,True
classix,independent_deployment_selection,independent_candidate_ids,"{""compact"":""classix_r0.95_m10_distance"",""rich"":""classix_r0.75_m10_density""}",compact,rich,0,684,0,58,0.004949227749808004,False
classix,independent_deployment_selection,independent_candidate_ids,"{""compact"":""classix_r0.95_m10_distance"",""rich"":""classix_r0.75_m10_density""}",compact,rich,0,689,1,857,0.07312910657905965,True
classix,independent_deployment_selection,independent_candidate_ids,"{""compact"":""classix_r0.95_m10_distance"",""rich"":""classix_r0.75_m10_density""}",compact,rich,1,-1,-1,103,0.008789145831555593,True
classix,independent_deployment_selection,independent_candidate_ids,"{""compact"":""classix_r0.95_m10_distance"",""rich"":""classix_r0.75_m10_density""}",compact,rich,1,684,0,1079,0.09207270244901442,True
classix,independent_deployment_selection,independent_candidate_ids,"{""compact"":""classix_r0.95_m10_distance"",""rich"":""classix_r0.75_m10_density""}",compact,rich,1,689,1,9474,0.8084307534772591,False
