representation,split_seed,k,k_prime,engine,train_fidelity,test_fidelity,stability,stability_definition,k_selection_scope,k_candidate_count,selected_train_silhouette,selected_train_dbi,selected_train_ch,transformed_columns,leaves,leaf_count,effective_rules,effective_rule_count,max_depth,depth,mean_conditions_per_rule,conditions_per_rule_mean,max_conditions_per_rule,test_rows_used_for_selection,scaler_fit_rows,reference_fit_rows
compact,20260801,4,4,exkmc_0.0.3,0.9458133333333333,0.9462457337883959,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",4,4,4,4,3,3,2.25,2.25,3,0,9375,9375
compact,20260801,4,5,exkmc_0.0.3,0.9799466666666666,0.981655290102389,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",5,5,5,5,4,4,2.8,2.8,4,0,9375,9375
compact,20260801,4,6,exkmc_0.0.3,0.98912,0.9889078498293515,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",6,6,6,6,4,4,3.0,3.0,4,0,9375,9375
compact,20260801,4,7,exkmc_0.0.3,0.9908266666666666,0.9897610921501706,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,0,9375,9375
compact,20260801,4,8,exkmc_0.0.3,0.9912533333333333,0.9897610921501706,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",8,8,8,8,5,5,3.625,3.625,5,0,9375,9375
compact,20260801,4,9,exkmc_0.0.3,0.99136,0.9893344709897611,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",9,9,9,9,5,5,3.5555555555555554,3.5555555555555554,5,0,9375,9375
compact,20260801,4,10,exkmc_0.0.3,0.99104,0.9889078498293515,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",10,10,10,10,5,5,3.8,3.8,5,0,9375,9375
compact,20260801,4,11,exkmc_0.0.3,0.9914666666666667,0.9893344709897611,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",11,11,11,11,6,6,4.090909090909091,4.090909090909091,6,0,9375,9375
compact,20260801,4,12,exkmc_0.0.3,0.9914666666666667,0.9893344709897611,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",12,12,12,12,6,6,4.25,4.25,6,0,9375,9375
compact,20260801,4,13,exkmc_0.0.3,0.9936,0.9901877133105802,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",13,13,13,13,6,6,4.461538461538462,4.461538461538462,6,0,9375,9375
compact,20260801,4,14,exkmc_0.0.3,0.9936,0.9901877133105802,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",14,14,14,14,6,6,4.642857142857143,4.642857142857143,6,0,9375,9375
compact,20260801,4,15,exkmc_0.0.3,0.99392,0.9906143344709898,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",15,15,15,15,7,7,4.866666666666666,4.866666666666666,7,0,9375,9375
compact,20260801,4,16,exkmc_0.0.3,0.99392,0.9906143344709898,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5580086799550841,0.7716751011236889,8445.648231209503,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",16,16,16,16,7,7,4.875,4.875,7,0,9375,9375
compact,20260802,4,4,exkmc_0.0.3,0.9463466666666667,0.9436860068259386,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",4,4,4,4,3,3,2.25,2.25,3,0,9375,9375
compact,20260802,4,5,exkmc_0.0.3,0.9802666666666666,0.9795221843003413,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",5,5,5,5,4,4,2.8,2.8,4,0,9375,9375
compact,20260802,4,6,exkmc_0.0.3,0.98944,0.9872013651877133,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",6,6,6,6,4,4,3.0,3.0,4,0,9375,9375
compact,20260802,4,7,exkmc_0.0.3,0.9901866666666667,0.9876279863481229,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,0,9375,9375
compact,20260802,4,8,exkmc_0.0.3,0.9906133333333333,0.9889078498293515,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",8,8,8,8,5,5,3.625,3.625,5,0,9375,9375
compact,20260802,4,9,exkmc_0.0.3,0.99072,0.9889078498293515,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",9,9,9,9,5,5,3.888888888888889,3.888888888888889,5,0,9375,9375
compact,20260802,4,10,exkmc_0.0.3,0.9908266666666666,0.9889078498293515,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",10,10,10,10,6,6,4.2,4.2,6,0,9375,9375
compact,20260802,4,11,exkmc_0.0.3,0.9908266666666666,0.9889078498293515,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",11,11,11,11,6,6,4.2727272727272725,4.2727272727272725,6,0,9375,9375
compact,20260802,4,12,exkmc_0.0.3,0.9950933333333334,0.9931740614334471,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",12,12,12,12,6,6,4.416666666666667,4.416666666666667,6,0,9375,9375
compact,20260802,4,13,exkmc_0.0.3,0.9950933333333334,0.9931740614334471,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",13,13,13,13,6,6,4.538461538461538,4.538461538461538,6,0,9375,9375
compact,20260802,4,14,exkmc_0.0.3,0.9950933333333334,0.9931740614334471,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",14,14,14,14,6,6,4.571428571428571,4.571428571428571,6,0,9375,9375
compact,20260802,4,15,exkmc_0.0.3,0.9950933333333334,0.9931740614334471,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",15,15,15,15,6,6,4.733333333333333,4.733333333333333,6,0,9375,9375
compact,20260802,4,16,exkmc_0.0.3,0.9950933333333334,0.9931740614334471,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5567098623840773,0.7742610951751026,8379.90627280421,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",16,16,16,16,7,7,4.9375,4.9375,7,0,9375,9375
compact,20260803,4,4,exkmc_0.0.3,0.94656,0.9479522184300341,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",4,4,4,4,3,3,2.25,2.25,3,0,9375,9375
compact,20260803,4,5,exkmc_0.0.3,0.98144,0.9803754266211604,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",5,5,5,5,4,4,2.8,2.8,4,0,9375,9375
compact,20260803,4,6,exkmc_0.0.3,0.9902933333333334,0.9880546075085325,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",6,6,6,6,4,4,3.0,3.0,4,0,9375,9375
compact,20260803,4,7,exkmc_0.0.3,0.9912533333333333,0.9893344709897611,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,0,9375,9375
compact,20260803,4,8,exkmc_0.0.3,0.99136,0.988481228668942,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",8,8,8,8,4,4,3.5,3.5,4,0,9375,9375
compact,20260803,4,9,exkmc_0.0.3,0.9918933333333333,0.9897610921501706,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",9,9,9,9,5,5,3.7777777777777777,3.7777777777777777,5,0,9375,9375
compact,20260803,4,10,exkmc_0.0.3,0.992,0.9906143344709898,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",10,10,10,10,5,5,4.0,4.0,5,0,9375,9375
compact,20260803,4,11,exkmc_0.0.3,0.992,0.9906143344709898,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",11,11,11,11,5,5,4.181818181818182,4.181818181818182,5,0,9375,9375
compact,20260803,4,12,exkmc_0.0.3,0.99392,0.9931740614334471,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",12,12,12,12,6,6,4.416666666666667,4.416666666666667,6,0,9375,9375
compact,20260803,4,13,exkmc_0.0.3,0.9944533333333333,0.9936006825938567,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",13,13,13,13,7,7,4.6923076923076925,4.6923076923076925,7,0,9375,9375
compact,20260803,4,14,exkmc_0.0.3,0.9944533333333333,0.9936006825938567,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",14,14,14,14,7,7,4.857142857142857,4.857142857142857,7,0,9375,9375
compact,20260803,4,15,exkmc_0.0.3,0.99456,0.9936006825938567,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",15,15,15,15,7,7,5.066666666666666,5.066666666666666,7,0,9375,9375
compact,20260803,4,16,exkmc_0.0.3,0.99456,0.9936006825938567,1.0,fixed_seed_reproducibility,frozen_primary_k_train_fit,1,0.5598789121059157,0.7651432998559984,8585.6859978148,"[""purchase_recency_days"",""purchase_occasion_count"",""purchase_event_count""]",16,16,16,16,7,7,5.25,5.25,7,0,9375,9375
