representation,split_seed,k,train_silhouette,train_dbi,train_ch,selection_scope,selected
compact,20260801,4,0.5580086799550841,0.7716751011236889,8445.648231209503,frozen_primary_k_train_fit,True
compact,20260802,4,0.5567098623840773,0.7742610951751026,8379.90627280421,frozen_primary_k_train_fit,True
compact,20260803,4,0.5598789121059157,0.7651432998559984,8585.6859978148,frozen_primary_k_train_fit,True
compact,20260804,4,0.5615532556707259,0.7723889322571437,8320.247706740374,frozen_primary_k_train_fit,True
compact,20260805,4,0.5609462660836663,0.7761908063758696,8314.145481331503,frozen_primary_k_train_fit,True
rich,20260801,4,0.3518918964354268,1.0381112334884843,3175.2623086932736,frozen_primary_k_train_fit,True
rich,20260802,4,0.34915488653096727,1.0422790859895676,3149.0216445114456,frozen_primary_k_train_fit,True
rich,20260803,4,0.35033338367832934,1.0171925586199366,3133.2753682591733,frozen_primary_k_train_fit,True
rich,20260804,4,0.3501809394232276,1.0483947093804535,3128.398726169575,frozen_primary_k_train_fit,True
rich,20260805,4,0.35180422060882804,1.0409343741521127,3116.6237667913038,frozen_primary_k_train_fit,True
