representation,split_seed,k,k_prime,rule_id,leaf_id,cluster_id,condition_index,feature_index,feature,threshold,threshold_original,threshold_scaled,feature_transform,direction,path,condition_count,leaf_training_samples,engine
compact,20260801,2,2,0,0,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969,1,9273,exkmc_0.0.3
compact,20260801,2,2,1,1,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,>,x[1] > 3.410215185198969,1,102,exkmc_0.0.3
compact,20260801,2,3,0,0,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204,2,9268,exkmc_0.0.3
compact,20260801,2,3,0,0,1,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204,2,9268,exkmc_0.0.3
compact,20260801,2,3,1,1,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] > 5.5886170998372204,2,5,exkmc_0.0.3
compact,20260801,2,3,1,1,0,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,>,x[1] <= 3.410215185198969 AND x[2] > 5.5886170998372204,2,5,exkmc_0.0.3
compact,20260801,2,3,2,2,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,>,x[1] > 3.410215185198969,1,102,exkmc_0.0.3
compact,20260801,2,4,0,0,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204,2,9268,exkmc_0.0.3
compact,20260801,2,4,0,0,1,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204,2,9268,exkmc_0.0.3
compact,20260801,2,4,1,1,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] > 5.5886170998372204,2,5,exkmc_0.0.3
compact,20260801,2,4,1,1,0,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,>,x[1] <= 3.410215185198969 AND x[2] > 5.5886170998372204,2,5,exkmc_0.0.3
compact,20260801,2,4,2,2,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] <= 2.681378409142622,2,4,exkmc_0.0.3
compact,20260801,2,4,2,2,1,1,2,purchase_event_count,6.000000000000001,6.000000000000001,2.681378409142622,log1p_then_standardize,<=,x[1] > 3.410215185198969 AND x[2] <= 2.681378409142622,2,4,exkmc_0.0.3
compact,20260801,2,4,3,3,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] > 2.681378409142622,2,98,exkmc_0.0.3
compact,20260801,2,4,3,3,0,1,2,purchase_event_count,6.000000000000001,6.000000000000001,2.681378409142622,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] > 2.681378409142622,2,98,exkmc_0.0.3
compact,20260801,2,5,0,0,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,5,0,0,1,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,5,0,0,1,2,2,purchase_event_count,3.0,3.0,1.3137267097676402,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,5,1,1,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402,3,367,exkmc_0.0.3
compact,20260801,2,5,1,1,1,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402,3,367,exkmc_0.0.3
compact,20260801,2,5,1,1,1,2,2,purchase_event_count,3.0,3.0,1.3137267097676402,log1p_then_standardize,>,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402,3,367,exkmc_0.0.3
compact,20260801,2,5,2,2,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] > 5.5886170998372204,2,5,exkmc_0.0.3
compact,20260801,2,5,2,2,0,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,>,x[1] <= 3.410215185198969 AND x[2] > 5.5886170998372204,2,5,exkmc_0.0.3
compact,20260801,2,5,3,3,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] <= 2.681378409142622,2,4,exkmc_0.0.3
compact,20260801,2,5,3,3,1,1,2,purchase_event_count,6.000000000000001,6.000000000000001,2.681378409142622,log1p_then_standardize,<=,x[1] > 3.410215185198969 AND x[2] <= 2.681378409142622,2,4,exkmc_0.0.3
compact,20260801,2,5,4,4,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] > 2.681378409142622,2,98,exkmc_0.0.3
compact,20260801,2,5,4,4,0,1,2,purchase_event_count,6.000000000000001,6.000000000000001,2.681378409142622,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] > 2.681378409142622,2,98,exkmc_0.0.3
compact,20260801,2,6,0,0,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,6,0,0,1,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,6,0,0,1,2,2,purchase_event_count,3.0,3.0,1.3137267097676402,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,6,1,1,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] <= -0.66298767101032641,4,90,exkmc_0.0.3
compact,20260801,2,6,1,1,1,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] <= -0.66298767101032641,4,90,exkmc_0.0.3
compact,20260801,2,6,1,1,1,2,2,purchase_event_count,3.0,3.0,1.3137267097676402,log1p_then_standardize,>,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] <= -0.66298767101032641,4,90,exkmc_0.0.3
compact,20260801,2,6,1,1,1,3,0,purchase_recency_days,32.186009004629625,32.186009004629625,-0.6629876710103264,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] <= -0.66298767101032641,4,90,exkmc_0.0.3
compact,20260801,2,6,2,2,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] > -0.66298767101032641,4,277,exkmc_0.0.3
compact,20260801,2,6,2,2,1,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] > -0.66298767101032641,4,277,exkmc_0.0.3
compact,20260801,2,6,2,2,1,2,2,purchase_event_count,3.0,3.0,1.3137267097676402,log1p_then_standardize,>,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] > -0.66298767101032641,4,277,exkmc_0.0.3
compact,20260801,2,6,2,2,1,3,0,purchase_recency_days,32.186009004629625,32.186009004629625,-0.6629876710103264,log1p_then_standardize,>,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] > -0.66298767101032641,4,277,exkmc_0.0.3
compact,20260801,2,6,3,3,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] > 5.5886170998372204,2,5,exkmc_0.0.3
compact,20260801,2,6,3,3,0,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,>,x[1] <= 3.410215185198969 AND x[2] > 5.5886170998372204,2,5,exkmc_0.0.3
compact,20260801,2,6,4,4,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] <= 2.681378409142622,2,4,exkmc_0.0.3
compact,20260801,2,6,4,4,1,1,2,purchase_event_count,6.000000000000001,6.000000000000001,2.681378409142622,log1p_then_standardize,<=,x[1] > 3.410215185198969 AND x[2] <= 2.681378409142622,2,4,exkmc_0.0.3
compact,20260801,2,6,5,5,0,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] > 2.681378409142622,2,98,exkmc_0.0.3
compact,20260801,2,6,5,5,0,1,2,purchase_event_count,6.000000000000001,6.000000000000001,2.681378409142622,log1p_then_standardize,>,x[1] > 3.410215185198969 AND x[2] > 2.681378409142622,2,98,exkmc_0.0.3
compact,20260801,2,7,0,0,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,7,0,0,1,1,2,purchase_event_count,22.0,22.0,5.58861709983722,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,7,0,0,1,2,2,purchase_event_count,3.0,3.0,1.3137267097676402,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] <= 1.3137267097676402,3,8901,exkmc_0.0.3
compact,20260801,2,7,1,1,1,0,1,purchase_occasion_count,5.0,5.0,3.410215185198969,log1p_then_standardize,<=,x[1] <= 3.410215185198969 AND x[2] <= 5.5886170998372204 AND x[2] > 1.3137267097676402 AND x[0] <= -0.66298767101032641 AND x[0] <= -0.6928356455539546,5,88,exkmc_0.0.3
