representation,split_seed,k,k_prime,engine,leaves,leaf_count,effective_rules,effective_rule_count,max_depth,depth,mean_conditions_per_rule,conditions_per_rule_mean,max_conditions_per_rule,stability,stability_definition
compact,20260801,4,4,exkmc_0.0.3,4,4,4,4,3,3,2.25,2.25,3,1.0,fixed_seed_reproducibility
compact,20260801,4,5,exkmc_0.0.3,5,5,5,5,4,4,2.8,2.8,4,1.0,fixed_seed_reproducibility
compact,20260801,4,6,exkmc_0.0.3,6,6,6,6,4,4,3.0,3.0,4,1.0,fixed_seed_reproducibility
compact,20260801,4,7,exkmc_0.0.3,7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,1.0,fixed_seed_reproducibility
compact,20260801,4,8,exkmc_0.0.3,8,8,8,8,5,5,3.625,3.625,5,1.0,fixed_seed_reproducibility
compact,20260801,4,9,exkmc_0.0.3,9,9,9,9,5,5,3.5555555555555554,3.5555555555555554,5,1.0,fixed_seed_reproducibility
compact,20260801,4,10,exkmc_0.0.3,10,10,10,10,5,5,3.8,3.8,5,1.0,fixed_seed_reproducibility
compact,20260801,4,11,exkmc_0.0.3,11,11,11,11,6,6,4.090909090909091,4.090909090909091,6,1.0,fixed_seed_reproducibility
compact,20260801,4,12,exkmc_0.0.3,12,12,12,12,6,6,4.25,4.25,6,1.0,fixed_seed_reproducibility
compact,20260801,4,13,exkmc_0.0.3,13,13,13,13,6,6,4.461538461538462,4.461538461538462,6,1.0,fixed_seed_reproducibility
compact,20260801,4,14,exkmc_0.0.3,14,14,14,14,6,6,4.642857142857143,4.642857142857143,6,1.0,fixed_seed_reproducibility
compact,20260801,4,15,exkmc_0.0.3,15,15,15,15,7,7,4.866666666666666,4.866666666666666,7,1.0,fixed_seed_reproducibility
compact,20260801,4,16,exkmc_0.0.3,16,16,16,16,7,7,4.875,4.875,7,1.0,fixed_seed_reproducibility
compact,20260802,4,4,exkmc_0.0.3,4,4,4,4,3,3,2.25,2.25,3,1.0,fixed_seed_reproducibility
compact,20260802,4,5,exkmc_0.0.3,5,5,5,5,4,4,2.8,2.8,4,1.0,fixed_seed_reproducibility
compact,20260802,4,6,exkmc_0.0.3,6,6,6,6,4,4,3.0,3.0,4,1.0,fixed_seed_reproducibility
compact,20260802,4,7,exkmc_0.0.3,7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,1.0,fixed_seed_reproducibility
compact,20260802,4,8,exkmc_0.0.3,8,8,8,8,5,5,3.625,3.625,5,1.0,fixed_seed_reproducibility
compact,20260802,4,9,exkmc_0.0.3,9,9,9,9,5,5,3.888888888888889,3.888888888888889,5,1.0,fixed_seed_reproducibility
compact,20260802,4,10,exkmc_0.0.3,10,10,10,10,6,6,4.2,4.2,6,1.0,fixed_seed_reproducibility
compact,20260802,4,11,exkmc_0.0.3,11,11,11,11,6,6,4.2727272727272725,4.2727272727272725,6,1.0,fixed_seed_reproducibility
compact,20260802,4,12,exkmc_0.0.3,12,12,12,12,6,6,4.416666666666667,4.416666666666667,6,1.0,fixed_seed_reproducibility
compact,20260802,4,13,exkmc_0.0.3,13,13,13,13,6,6,4.538461538461538,4.538461538461538,6,1.0,fixed_seed_reproducibility
compact,20260802,4,14,exkmc_0.0.3,14,14,14,14,6,6,4.571428571428571,4.571428571428571,6,1.0,fixed_seed_reproducibility
compact,20260802,4,15,exkmc_0.0.3,15,15,15,15,6,6,4.733333333333333,4.733333333333333,6,1.0,fixed_seed_reproducibility
compact,20260802,4,16,exkmc_0.0.3,16,16,16,16,7,7,4.9375,4.9375,7,1.0,fixed_seed_reproducibility
compact,20260803,4,4,exkmc_0.0.3,4,4,4,4,3,3,2.25,2.25,3,1.0,fixed_seed_reproducibility
compact,20260803,4,5,exkmc_0.0.3,5,5,5,5,4,4,2.8,2.8,4,1.0,fixed_seed_reproducibility
compact,20260803,4,6,exkmc_0.0.3,6,6,6,6,4,4,3.0,3.0,4,1.0,fixed_seed_reproducibility
compact,20260803,4,7,exkmc_0.0.3,7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,1.0,fixed_seed_reproducibility
compact,20260803,4,8,exkmc_0.0.3,8,8,8,8,4,4,3.5,3.5,4,1.0,fixed_seed_reproducibility
compact,20260803,4,9,exkmc_0.0.3,9,9,9,9,5,5,3.7777777777777777,3.7777777777777777,5,1.0,fixed_seed_reproducibility
compact,20260803,4,10,exkmc_0.0.3,10,10,10,10,5,5,4.0,4.0,5,1.0,fixed_seed_reproducibility
compact,20260803,4,11,exkmc_0.0.3,11,11,11,11,5,5,4.181818181818182,4.181818181818182,5,1.0,fixed_seed_reproducibility
compact,20260803,4,12,exkmc_0.0.3,12,12,12,12,6,6,4.416666666666667,4.416666666666667,6,1.0,fixed_seed_reproducibility
compact,20260803,4,13,exkmc_0.0.3,13,13,13,13,7,7,4.6923076923076925,4.6923076923076925,7,1.0,fixed_seed_reproducibility
compact,20260803,4,14,exkmc_0.0.3,14,14,14,14,7,7,4.857142857142857,4.857142857142857,7,1.0,fixed_seed_reproducibility
compact,20260803,4,15,exkmc_0.0.3,15,15,15,15,7,7,5.066666666666666,5.066666666666666,7,1.0,fixed_seed_reproducibility
compact,20260803,4,16,exkmc_0.0.3,16,16,16,16,7,7,5.25,5.25,7,1.0,fixed_seed_reproducibility
compact,20260804,4,4,exkmc_0.0.3,4,4,4,4,3,3,2.25,2.25,3,1.0,fixed_seed_reproducibility
compact,20260804,4,5,exkmc_0.0.3,5,5,5,5,4,4,2.8,2.8,4,1.0,fixed_seed_reproducibility
compact,20260804,4,6,exkmc_0.0.3,6,6,6,6,4,4,3.0,3.0,4,1.0,fixed_seed_reproducibility
compact,20260804,4,7,exkmc_0.0.3,7,7,7,7,4,4,3.0,3.0,4,1.0,fixed_seed_reproducibility
compact,20260804,4,8,exkmc_0.0.3,8,8,8,8,4,4,3.25,3.25,4,1.0,fixed_seed_reproducibility
compact,20260804,4,9,exkmc_0.0.3,9,9,9,9,5,5,3.5555555555555554,3.5555555555555554,5,1.0,fixed_seed_reproducibility
compact,20260804,4,10,exkmc_0.0.3,10,10,10,10,6,6,3.9,3.9,6,1.0,fixed_seed_reproducibility
compact,20260804,4,11,exkmc_0.0.3,11,11,11,11,6,6,4.090909090909091,4.090909090909091,6,1.0,fixed_seed_reproducibility
compact,20260804,4,12,exkmc_0.0.3,12,12,12,12,6,6,4.083333333333333,4.083333333333333,6,1.0,fixed_seed_reproducibility
compact,20260804,4,13,exkmc_0.0.3,13,13,13,13,6,6,4.153846153846154,4.153846153846154,6,1.0,fixed_seed_reproducibility
compact,20260804,4,14,exkmc_0.0.3,14,14,14,14,6,6,4.285714285714286,4.285714285714286,6,1.0,fixed_seed_reproducibility
compact,20260804,4,15,exkmc_0.0.3,15,15,15,15,6,6,4.466666666666667,4.466666666666667,6,1.0,fixed_seed_reproducibility
compact,20260804,4,16,exkmc_0.0.3,16,16,16,16,6,6,4.5625,4.5625,6,1.0,fixed_seed_reproducibility
compact,20260805,4,4,exkmc_0.0.3,4,4,4,4,3,3,2.25,2.25,3,1.0,fixed_seed_reproducibility
compact,20260805,4,5,exkmc_0.0.3,5,5,5,5,4,4,2.8,2.8,4,1.0,fixed_seed_reproducibility
compact,20260805,4,6,exkmc_0.0.3,6,6,6,6,4,4,3.0,3.0,4,1.0,fixed_seed_reproducibility
compact,20260805,4,7,exkmc_0.0.3,7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,1.0,fixed_seed_reproducibility
compact,20260805,4,8,exkmc_0.0.3,8,8,8,8,5,5,3.625,3.625,5,1.0,fixed_seed_reproducibility
compact,20260805,4,9,exkmc_0.0.3,9,9,9,9,5,5,3.888888888888889,3.888888888888889,5,1.0,fixed_seed_reproducibility
compact,20260805,4,10,exkmc_0.0.3,10,10,10,10,6,6,4.2,4.2,6,1.0,fixed_seed_reproducibility
compact,20260805,4,11,exkmc_0.0.3,11,11,11,11,6,6,4.363636363636363,4.363636363636363,6,1.0,fixed_seed_reproducibility
compact,20260805,4,12,exkmc_0.0.3,12,12,12,12,6,6,4.583333333333333,4.583333333333333,6,1.0,fixed_seed_reproducibility
compact,20260805,4,13,exkmc_0.0.3,13,13,13,13,6,6,4.615384615384615,4.615384615384615,6,1.0,fixed_seed_reproducibility
compact,20260805,4,14,exkmc_0.0.3,14,14,14,14,6,6,4.714285714285714,4.714285714285714,6,1.0,fixed_seed_reproducibility
compact,20260805,4,15,exkmc_0.0.3,15,15,15,15,6,6,4.6,4.6,6,1.0,fixed_seed_reproducibility
compact,20260805,4,16,exkmc_0.0.3,16,16,16,16,6,6,4.5625,4.5625,6,1.0,fixed_seed_reproducibility
rich,20260801,4,4,exkmc_0.0.3,4,4,4,4,3,3,2.25,2.25,3,1.0,fixed_seed_reproducibility
rich,20260801,4,5,exkmc_0.0.3,5,5,5,5,4,4,2.8,2.8,4,1.0,fixed_seed_reproducibility
rich,20260801,4,6,exkmc_0.0.3,6,6,6,6,4,4,3.1666666666666665,3.1666666666666665,4,1.0,fixed_seed_reproducibility
rich,20260801,4,7,exkmc_0.0.3,7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,1.0,fixed_seed_reproducibility
rich,20260801,4,8,exkmc_0.0.3,8,8,8,8,5,5,3.625,3.625,5,1.0,fixed_seed_reproducibility
rich,20260801,4,9,exkmc_0.0.3,9,9,9,9,5,5,3.888888888888889,3.888888888888889,5,1.0,fixed_seed_reproducibility
rich,20260801,4,10,exkmc_0.0.3,10,10,10,10,6,6,4.2,4.2,6,1.0,fixed_seed_reproducibility
rich,20260801,4,11,exkmc_0.0.3,11,11,11,11,6,6,4.363636363636363,4.363636363636363,6,1.0,fixed_seed_reproducibility
rich,20260801,4,12,exkmc_0.0.3,12,12,12,12,6,6,4.416666666666667,4.416666666666667,6,1.0,fixed_seed_reproducibility
rich,20260801,4,13,exkmc_0.0.3,13,13,13,13,6,6,4.3076923076923075,4.3076923076923075,6,1.0,fixed_seed_reproducibility
rich,20260801,4,14,exkmc_0.0.3,14,14,14,14,6,6,4.5,4.5,6,1.0,fixed_seed_reproducibility
rich,20260801,4,15,exkmc_0.0.3,15,15,15,15,6,6,4.466666666666667,4.466666666666667,6,1.0,fixed_seed_reproducibility
rich,20260801,4,16,exkmc_0.0.3,16,16,16,16,6,6,4.5625,4.5625,6,1.0,fixed_seed_reproducibility
rich,20260802,4,4,exkmc_0.0.3,4,4,4,4,3,3,2.25,2.25,3,1.0,fixed_seed_reproducibility
rich,20260802,4,5,exkmc_0.0.3,5,5,5,5,4,4,2.8,2.8,4,1.0,fixed_seed_reproducibility
rich,20260802,4,6,exkmc_0.0.3,6,6,6,6,4,4,3.1666666666666665,3.1666666666666665,4,1.0,fixed_seed_reproducibility
rich,20260802,4,7,exkmc_0.0.3,7,7,7,7,5,5,3.5714285714285716,3.5714285714285716,5,1.0,fixed_seed_reproducibility
rich,20260802,4,8,exkmc_0.0.3,8,8,8,8,5,5,3.625,3.625,5,1.0,fixed_seed_reproducibility
rich,20260802,4,9,exkmc_0.0.3,9,9,9,9,5,5,3.888888888888889,3.888888888888889,5,1.0,fixed_seed_reproducibility
rich,20260802,4,10,exkmc_0.0.3,10,10,10,10,5,5,4.1,4.1,5,1.0,fixed_seed_reproducibility
rich,20260802,4,11,exkmc_0.0.3,11,11,11,11,6,6,4.363636363636363,4.363636363636363,6,1.0,fixed_seed_reproducibility
rich,20260802,4,12,exkmc_0.0.3,12,12,12,12,6,6,4.25,4.25,6,1.0,fixed_seed_reproducibility
rich,20260802,4,13,exkmc_0.0.3,13,13,13,13,6,6,4.230769230769231,4.230769230769231,6,1.0,fixed_seed_reproducibility
rich,20260802,4,14,exkmc_0.0.3,14,14,14,14,6,6,4.428571428571429,4.428571428571429,6,1.0,fixed_seed_reproducibility
rich,20260802,4,15,exkmc_0.0.3,15,15,15,15,6,6,4.533333333333333,4.533333333333333,6,1.0,fixed_seed_reproducibility
rich,20260802,4,16,exkmc_0.0.3,16,16,16,16,6,6,4.5625,4.5625,6,1.0,fixed_seed_reproducibility
rich,20260803,4,4,exkmc_0.0.3,4,4,4,4,3,3,2.25,2.25,3,1.0,fixed_seed_reproducibility
rich,20260803,4,5,exkmc_0.0.3,5,5,5,5,4,4,2.8,2.8,4,1.0,fixed_seed_reproducibility
rich,20260803,4,6,exkmc_0.0.3,6,6,6,6,4,4,3.1666666666666665,3.1666666666666665,4,1.0,fixed_seed_reproducibility
rich,20260803,4,7,exkmc_0.0.3,7,7,7,7,4,4,3.2857142857142856,3.2857142857142856,4,1.0,fixed_seed_reproducibility
rich,20260803,4,8,exkmc_0.0.3,8,8,8,8,5,5,3.625,3.625,5,1.0,fixed_seed_reproducibility
rich,20260803,4,9,exkmc_0.0.3,9,9,9,9,5,5,3.888888888888889,3.888888888888889,5,1.0,fixed_seed_reproducibility
rich,20260803,4,10,exkmc_0.0.3,10,10,10,10,5,5,3.8,3.8,5,1.0,fixed_seed_reproducibility
