comparison,method,parameter_key,parameter_value,k,left_representation,right_representation,n_samples,ari,nmi,vi,availability
fixed_k,kmeans,n_clusters,2,2.0,compact,rich,11719,0.023522894907714618,0.03541028033240386,0.6654147190049775,
fixed_k,kmeans,n_clusters,3,3.0,compact,rich,11719,0.022251325644513507,0.07469748907243033,1.20709079081812,
fixed_k,kmeans,n_clusters,4,4.0,compact,rich,11719,0.01397446272936289,0.08938623390274329,1.6908046658510987,
fixed_k,kmeans,n_clusters,5,5.0,compact,rich,11719,0.012007608080703756,0.0762890344391787,2.3329297601333767,
fixed_k,kmeans,n_clusters,6,6.0,compact,rich,11719,0.023750967210933612,0.08787783789477047,2.561220925892342,
fixed_k,kmeans,n_clusters,7,7.0,compact,rich,11719,0.10303408228077374,0.18577265424875564,2.561455489566583,
fixed_k,kmeans,n_clusters,8,8.0,compact,rich,11719,0.09299596091110753,0.17710322402567802,2.761081842490677,
fixed_k,kmeans,n_clusters,9,9.0,compact,rich,11719,0.0987449903874367,0.18947259727398058,2.9548534371871993,
fixed_k,kmeans,n_clusters,10,10.0,compact,rich,11719,0.11014859555193568,0.2183468397533161,2.9587321374008404,
fixed_k,kmeans,n_clusters,11,11.0,compact,rich,11719,0.11254900629772993,0.22757873645215634,2.980925248092732,
fixed_k,kmeans,n_clusters,12,12.0,compact,rich,11719,0.1004527794559872,0.21862112270459688,3.09845116495324,
fixed_classix_parameter,classix,candidate_id,classix_r0.25_m10_density,,compact,rich,11719,0.00810484310471887,0.25249576221931636,2.3358678515457134,
fixed_classix_parameter,classix,candidate_id,classix_r0.25_m10_distance,,compact,rich,11719,0.2799230933803769,0.3869737936731057,1.8090368018650445,
fixed_classix_parameter,classix,candidate_id,classix_r0.25_m1_density,,compact,rich,11719,0.11744822730696783,0.40111033467730794,3.314766155026213,
fixed_classix_parameter,classix,candidate_id,classix_r0.25_m1_distance,,compact,rich,11719,0.28651236011706477,0.5024808717100883,1.998363915249417,
fixed_classix_parameter,classix,candidate_id,classix_r0.25_m5_density,,compact,rich,11719,0.022457526859089517,0.25862548199515945,2.466065642835055,
fixed_classix_parameter,classix,candidate_id,classix_r0.25_m5_distance,,compact,rich,11719,0.28521113496085404,0.4126933446492538,1.846578417150258,
fixed_classix_parameter,classix,candidate_id,classix_r0.30_m10_density,,compact,rich,11719,0.07382148940402473,0.29425516492158543,2.19701769222151,
fixed_classix_parameter,classix,candidate_id,classix_r0.30_m10_distance,,compact,rich,11719,0.3213698099606378,0.3229349854449247,1.1705616021797947,
fixed_classix_parameter,classix,candidate_id,classix_r0.30_m1_density,,compact,rich,11719,0.14433990982735545,0.42967458117898544,2.8062684217502865,
fixed_classix_parameter,classix,candidate_id,classix_r0.30_m1_distance,,compact,rich,11719,0.4126121930714178,0.5032322075967931,1.2876507474845942,
fixed_classix_parameter,classix,candidate_id,classix_r0.30_m5_density,,compact,rich,11719,0.08383435793941862,0.29904192034020005,2.2947545261790845,
fixed_classix_parameter,classix,candidate_id,classix_r0.30_m5_distance,,compact,rich,11719,0.33540432065784,0.3619180352427192,1.1998300348489095,
fixed_classix_parameter,classix,candidate_id,classix_r0.35_m10_density,,compact,rich,11719,0.24401128683450257,0.3788316238914441,1.7674734647474506,
fixed_classix_parameter,classix,candidate_id,classix_r0.35_m10_distance,,compact,rich,11719,0.029932557253439213,0.10008482650274089,1.234817356541565,
fixed_classix_parameter,classix,candidate_id,classix_r0.35_m1_density,,compact,rich,11719,0.28418802309620506,0.49289620644271565,2.0978518880045263,
fixed_classix_parameter,classix,candidate_id,classix_r0.35_m1_distance,,compact,rich,11719,0.18653691975214284,0.3393051577867361,1.3066937347917293,
fixed_classix_parameter,classix,candidate_id,classix_r0.35_m5_density,,compact,rich,11719,0.248589469974967,0.37887047830305476,1.837613391830442,
fixed_classix_parameter,classix,candidate_id,classix_r0.35_m5_distance,,compact,rich,11719,0.06179831634636932,0.13945464691875228,1.2807253412382775,
fixed_classix_parameter,classix,candidate_id,classix_r0.40_m10_density,,compact,rich,11719,0.20328266377052412,0.2871925637677987,1.6214248668080193,
fixed_classix_parameter,classix,candidate_id,classix_r0.40_m10_distance,,compact,rich,11719,0.02556426645381553,0.09581569887462996,1.2487107056017224,
fixed_classix_parameter,classix,candidate_id,classix_r0.40_m1_density,,compact,rich,11719,0.23026014632533284,0.44566618482594417,1.8047419286377275,
fixed_classix_parameter,classix,candidate_id,classix_r0.40_m1_distance,,compact,rich,11719,0.1380442330975019,0.28666884458850067,1.288036511226922,
fixed_classix_parameter,classix,candidate_id,classix_r0.40_m5_density,,compact,rich,11719,0.20711400180464506,0.2927276426062258,1.68835676429587,
fixed_classix_parameter,classix,candidate_id,classix_r0.40_m5_distance,,compact,rich,11719,0.05002568391631559,0.12407228772408743,1.2877775280027453,
fixed_classix_parameter,classix,candidate_id,classix_r0.45_m10_density,,compact,rich,11719,0.35885592402281985,0.34226817508221125,1.2863454936935876,
fixed_classix_parameter,classix,candidate_id,classix_r0.45_m10_distance,,compact,rich,11719,0.021098583481675162,0.08943463415661447,1.187924461380698,
fixed_classix_parameter,classix,candidate_id,classix_r0.45_m1_density,,compact,rich,11719,0.37408221644610534,0.47990110095944427,1.368978452607236,
fixed_classix_parameter,classix,candidate_id,classix_r0.45_m1_distance,,compact,rich,11719,0.09715944428124444,0.22524992683128728,1.2485921442964436,
fixed_classix_parameter,classix,candidate_id,classix_r0.45_m5_density,,compact,rich,11719,0.36084618324318346,0.3484815324662962,1.3125188941036423,
fixed_classix_parameter,classix,candidate_id,classix_r0.45_m5_distance,,compact,rich,11719,0.04521088648937441,0.12097825219546907,1.216601519730502,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m10_density,,compact,rich,11719,0.39246578857731357,0.3807567816733955,1.0700720588147055,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m10_distance,,compact,rich,11719,-0.02015657142081144,0.06931353776172,1.1734453382952321,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m1_density,,compact,rich,11719,0.40238886981315897,0.4982267091758628,1.138308844364103,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m1_distance,,compact,rich,11719,0.0454794066676584,0.17692310159604657,1.233211032188281,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m5_density,,compact,rich,11719,0.39423248045286774,0.38482102896926984,1.113311282754451,
fixed_classix_parameter,classix,candidate_id,classix_r0.50_m5_distance,,compact,rich,11719,-0.015934905014323843,0.07590573329150338,1.2062027422672104,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m10_density,,compact,rich,11719,0.1709397755056272,0.15594871284642903,1.2646120910298293,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m10_distance,,compact,rich,11719,-0.03681373738034564,0.020827348765429198,1.0811290568936671,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m1_density,,compact,rich,11719,0.1778865431570464,0.3191745762203705,1.295431905304425,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m1_distance,,compact,rich,11719,0.011076365063472425,0.10916480057927903,1.1417557908996274,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m5_density,,compact,rich,11719,0.1724230805132272,0.17278136948957143,1.2892512208250082,
fixed_classix_parameter,classix,candidate_id,classix_r0.55_m5_distance,,compact,rich,11719,-0.034193485951312566,0.02502431840643239,1.1058125616625945,
