representation,method,selection,candidate_id,pair_id,seed_left,seed_right,sample_fraction,n_left,n_right,n_overlap,valid_overlap,ari_overlap
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,1,20260801,20260802,0.8,9375,9375,7516,True,1.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,2,20260803,20260804,0.8,9375,9375,7493,True,1.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,3,20260805,20260806,0.8,9375,9375,7487,True,1.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,4,20260807,20260808,0.8,9375,9375,7495,True,1.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,5,20260809,20260810,0.8,9375,9375,7502,True,1.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,6,20260811,20260812,0.8,9375,9375,7514,True,0.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,7,20260813,20260814,0.8,9375,9375,7497,True,0.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,8,20260815,20260816,0.8,9375,9375,7468,True,0.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,9,20260817,20260818,0.8,9375,9375,7499,True,0.0
compact,classix,unconstrained_silhouette,classix_r1.05_m10_distance,10,20260819,20260820,0.8,9375,9375,7502,True,1.0
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,1,20260801,20260802,0.8,9375,9375,7516,True,0.9980893113590752
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,2,20260803,20260804,0.8,9375,9375,7493,True,0.999025878952324
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,3,20260805,20260806,0.8,9375,9375,7487,True,0.9945472157386464
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,4,20260807,20260808,0.8,9375,9375,7495,True,0.9916072801866278
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,5,20260809,20260810,0.8,9375,9375,7502,True,0.9952283650077226
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,6,20260811,20260812,0.8,9375,9375,7514,True,0.9932909165015871
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,7,20260813,20260814,0.8,9375,9375,7497,True,0.9990153921500381
compact,classix,deployment_acceptable,classix_r0.95_m10_distance,8,20260815,20260816,0.8,9375,9375,7468,True,0.8809620728935516
