algorithm,representation,selection,candidate_id,parameters,sigma,seed,n_clusters,largest_non_noise_cluster_share,silhouette,davies_bouldin,calinski_harabasz,ari,stability_ari,n_noise,noise_fraction
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",0.0,20260801,2,0.9092926017578291,0.5947455721748541,1.057226453321008,4285.466605247859,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260801,2,0.9092926017578291,0.5947455759431417,1.0572264518942678,4285.466647715827,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260802,2,0.9092926017578291,0.5947455790552542,1.0572264366544264,4285.4668014554345,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260803,2,0.9092926017578291,0.5947455701701883,1.0572264374315319,4285.4666590293555,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260804,2,0.9092926017578291,0.5947455722234515,1.0572264607294644,4285.466595457226,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260805,2,0.9092926017578291,0.5947455688803402,1.0572264605159816,4285.466519210748,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260806,2,0.9092926017578291,0.5947455694611784,1.057226444401366,4285.466630750593,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260807,2,0.9092926017578291,0.5947455647146491,1.057226465155125,4285.466480563295,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260808,2,0.9092926017578291,0.5947455797081331,1.0572264434415795,4285.4667200607855,1.0,1.0,0,0.0
classix,compact,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",1e-06,20260809,2,0.9092926017578291,0.5947455727305102,1.0572264674001097,4285.466526367808,1.0,1.0,0,0.0
