algorithm,representation,selection,candidate_id,parameters,dropped_feature,n_features,n_clusters,largest_non_noise_cluster_share,silhouette,davies_bouldin,calinski_harabasz,ari,stability_ari,n_noise,noise_fraction
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",purchase_recency_days,11,4,0.5787183206758256,0.3952415352366083,0.9544805531842416,4580.008570835328,0.9905283117268359,0.9905283117268359,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",purchase_occasion_count,11,4,0.568990528202065,0.3496440943673575,1.1116474698751526,3897.507843431301,0.9370257976999291,0.9370257976999291,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",purchase_event_count,11,4,0.579230309753392,0.36480470711782764,1.01305739914546,4054.46856352817,0.9846975598196122,0.9846975598196122,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",total_events,11,4,0.5848621896066217,0.3651031108713342,1.0155688848835316,3972.075205388681,0.9533907380168797,0.9533907380168797,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",active_days,11,4,0.5776943425206928,0.3440054221244595,1.0514807803461452,3768.902783327482,0.9752579709646364,0.9752579709646364,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",cart_per_view,11,4,0.581704923628296,0.38270317658986946,0.9786173386305796,4564.435122142025,0.9741073793673082,0.9741073793673082,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",transaction_per_view,11,4,0.586654151378104,0.38285698622475306,0.9813432679697146,4440.364535296127,0.9566053181436005,0.9566053181436005,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",activity_span_days,11,4,0.5463776772762181,0.32102322164485175,1.1036186777109758,3627.7399064037977,0.8736384842198252,0.8736384842198252,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",mean_interevent_hours,11,4,0.598685894700913,0.3354782225941458,1.0636660958300497,3770.0415173326264,0.8550179402457353,0.8550179402457353,0,0.0
kmeans,rich,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",session_count_30m,11,4,0.5829848963222118,0.3533299940771637,1.0329670124601704,3824.143165671243,0.9581271858511093,0.9581271858511093,0,0.0
