representation,method,candidate_id,parameters,seed,n_samples,n_clusters,n_clusters_including_noise,n_noise,noise_fraction,largest_non_noise_cluster_share,internal_valid,silhouette,davies_bouldin,calinski_harabasz,runtime_seconds,cluster_sizes,n_clusters_excluding_noise,selection,deployment_acceptable,selection_status,scenario_type,scenario_id,included_features,dropped_features,n_features,ari_vs_compact_deployment,ari_vs_rich_deployment
drop_feature_purchase_recency_days,classix,classix_r1.60_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.6,""sorting"":""pca""}",,11719,2,2,0,0.0,0.9998293369741446,True,0.8137700353472428,0.2666551829963244,81.13129662317107,0.013292042014654726,"{""0"":11717,""1"":2}",2,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_purchase_recency_days,"[""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_recency_days""]",11,-0.00030679319208232886,0.0024592120901165567
drop_feature_purchase_recency_days,classix,classix_r0.80_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.8,""sorting"":""pca""}",,11719,3,4,142,0.012117074835736838,0.8982465232789151,True,0.31699505941026074,0.8326173411085213,1694.786882357851,0.8598616250092164,"{""-1"":142,""375"":38,""433"":1140,""441"":10399}",3,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_purchase_recency_days,"[""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_recency_days""]",11,0.03627493878975659,0.9682959525493591
drop_feature_purchase_recency_days,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.5787183206758256,True,0.3952415352366083,0.9544805531842416,4580.008570835328,4.130501333042048,"{""0"":6782,""1"":3615,""2"":166,""3"":1156}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_purchase_recency_days,"[""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_recency_days""]",11,0.014949844264173664,0.9905283117268359
drop_feature_purchase_recency_days,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.5787183206758256,True,0.3952415352366083,0.9544805531842416,4580.008570835328,4.130501333042048,"{""0"":6782,""1"":3615,""2"":166,""3"":1156}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_purchase_recency_days,"[""purchase_occasion_count"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_recency_days""]",11,0.014949844264173664,0.9905283117268359
drop_feature_purchase_occasion_count,classix,classix_r1.50_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.5,""sorting"":""pca""}",,11719,2,2,0,0.0,0.9998293369741446,True,0.8053292609849853,0.27832337039448574,81.46759700307155,0.015222084010019898,"{""0"":11717,""1"":2}",2,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_purchase_occasion_count,"[""purchase_recency_days"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_occasion_count""]",11,-0.00030679319208232886,0.0024592120901165567
drop_feature_purchase_occasion_count,classix,classix_r0.80_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.8,""sorting"":""pca""}",,11719,2,3,118,0.010069118525471456,0.9008706146021894,True,0.28551975631144716,1.147144252516529,1795.7092143302402,1.2544701659935527,"{""-1"":118,""426"":10451,""429"":1150}",2,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_purchase_occasion_count,"[""purchase_recency_days"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_occasion_count""]",11,-0.006521626722093745,0.9384314415531211
drop_feature_purchase_occasion_count,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.568990528202065,True,0.3496440943673575,1.1116474698751526,3897.507843431301,0.2751505839987658,"{""0"":1156,""1"":6668,""2"":396,""3"":3499}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_purchase_occasion_count,"[""purchase_recency_days"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_occasion_count""]",11,0.02202177970208987,0.9370257976999291
drop_feature_purchase_occasion_count,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.568990528202065,True,0.3496440943673575,1.1116474698751526,3897.507843431301,0.2751505839987658,"{""0"":1156,""1"":6668,""2"":396,""3"":3499}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_purchase_occasion_count,"[""purchase_recency_days"",""purchase_event_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_occasion_count""]",11,0.02202177970208987,0.9370257976999291
drop_feature_purchase_event_count,classix,classix_r1.55_m1_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":1,""post_alloc"":false,""radius"":1.55,""sorting"":""pca""}",,11719,2,2,0,0.0,0.9998293369741446,True,0.8072249356674427,0.2739020103019012,81.18569075367353,0.015273500001057982,"{""0"":11717,""1"":2}",2,unconstrained_silhouette,False,silhouette_max_unconstrained,leave_one_out,drop_feature_purchase_event_count,"[""purchase_recency_days"",""purchase_occasion_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_event_count""]",11,-0.00030679319208232886,0.0024592120901165567
drop_feature_purchase_event_count,classix,classix_r0.60_m10_density,"{""group_merging"":""density"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.6,""sorting"":""pca""}",,11719,5,6,328,0.02798873624029354,0.8957071372135896,True,0.314128416447704,0.8818318039951241,864.4433033246016,2.660373291000724,"{""-1"":328,""802"":14,""817"":17,""865"":27,""993"":1130,""1006"":10203}",5,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_purchase_event_count,"[""purchase_recency_days"",""purchase_occasion_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_event_count""]",11,0.1305733435673019,0.9331515702247447
drop_feature_purchase_event_count,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.579230309753392,True,0.36480470711782764,1.01305739914546,4054.46856352817,0.10002700000768527,"{""0"":158,""1"":6788,""2"":1157,""3"":3616}",4,unconstrained_silhouette,True,silhouette_max_unconstrained,leave_one_out,drop_feature_purchase_event_count,"[""purchase_recency_days"",""purchase_occasion_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_event_count""]",11,0.011712190197897852,0.9846975598196122
drop_feature_purchase_event_count,kmeans,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",20260801.0,11719,4,4,0,0.0,0.579230309753392,True,0.36480470711782764,1.01305739914546,4054.46856352817,0.10002700000768527,"{""0"":158,""1"":6788,""2"":1157,""3"":3616}",4,deployment_acceptable,True,silhouette_max_with_constraints,leave_one_out,drop_feature_purchase_event_count,"[""purchase_recency_days"",""purchase_occasion_count"",""total_events"",""active_days"",""cart_per_view"",""transaction_per_view"",""activity_span_days"",""mean_interevent_hours"",""session_count_30m"",""distinct_top_categories"",""top_category_share""]","[""purchase_event_count""]",11,0.011712190197897852,0.9846975598196122
