algorithm,representation,selection,candidate_id,parameters,n_features,added_permuted_features,permuted_feature_names,compact_columns_unchanged,rich_joint_structure_preserved,n_clusters,largest_non_noise_cluster_share,silhouette,davies_bouldin,calinski_harabasz,ari,stability_ari,n_noise,noise_fraction
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",3,0,,True,False,4,0.6642204966294052,0.5595143028687886,0.7745523266941869,10459.075569175475,1.0,1.0,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",4,1,total_events,True,False,4,0.5901527434081406,0.36039387183522753,0.9262526117010006,5294.399166578145,0.450581732193953,0.450581732193953,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",5,2,total_events|active_days,True,False,4,0.5976619165457804,0.2894266934253065,1.150688333276375,3473.116699458969,0.46017480680011036,0.46017480680011036,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",6,3,total_events|active_days|cart_per_view,True,False,4,0.5972352589811417,0.23333144060681005,1.3519010122623718,2521.065594053428,0.45966674218127507,0.45966674218127507,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",7,4,total_events|active_days|cart_per_view|transaction_per_view,True,False,4,0.5984299001621298,0.202076306190048,1.5023019907867112,2022.605170679789,0.44618600625603616,0.44618600625603616,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",8,5,total_events|active_days|cart_per_view|transaction_per_view|activity_span_days,True,False,4,0.5727451147708849,0.1839130476761843,1.6365049743974136,1768.8406632333433,0.020835040116977285,0.020835040116977285,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",9,6,total_events|active_days|cart_per_view|transaction_per_view|activity_span_days|mean_interevent_hours,True,False,4,0.5290553801518901,0.1585443291946363,1.7960170914876143,1559.88162722278,0.019132916812287612,0.019132916812287612,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",10,7,total_events|active_days|cart_per_view|transaction_per_view|activity_span_days|mean_interevent_hours|session_count_30m,True,False,4,0.5298233637682396,0.13900432228112378,1.9378473303740102,1350.3890073653283,0.018827680684057064,0.018827680684057064,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",11,8,total_events|active_days|cart_per_view|transaction_per_view|activity_span_days|mean_interevent_hours|session_count_30m|distinct_top_categories,True,False,4,0.5295673692294565,0.12436969452989946,2.0718286423552956,1190.3067871525955,0.01888498537926304,0.01888498537926304,0,0.0
kmeans,compact_plus_permuted_non_shared,deployment_acceptable,kmeans_k04,"{""init"":""k-means++"",""n_clusters"":4,""n_init"":20}",12,9,total_events|active_days|cart_per_view|transaction_per_view|activity_span_days|mean_interevent_hours|session_count_30m|distinct_top_categories|top_category_share,True,False,4,0.6266746309412066,0.1274623125075615,2.0630846166387418,1113.629085131916,0.0168124394206444,0.0168124394206444,0,0.0
classix,compact_plus_permuted_non_shared,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",3,0,,True,False,2,0.9092926017578291,0.5947455721748541,1.057226453321008,4285.466605247859,1.0,1.0,0,0.0
classix,compact_plus_permuted_non_shared,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",4,1,total_events,True,False,1,1.0,,,,0.0,0.0,0,0.0
classix,compact_plus_permuted_non_shared,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",5,2,total_events|active_days,True,False,1,1.0,,,,0.0,0.0,0,0.0
classix,compact_plus_permuted_non_shared,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",6,3,total_events|active_days|cart_per_view,True,False,1,1.0,,,,0.0,0.0,0,0.0
classix,compact_plus_permuted_non_shared,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",7,4,total_events|active_days|cart_per_view|transaction_per_view,True,False,1,1.0,,,,0.0,0.0,0,0.0
classix,compact_plus_permuted_non_shared,deployment_acceptable,classix_r0.95_m10_distance,"{""group_merging"":""distance"",""mergeScale"":1.5,""mergeTinyGroups"":true,""metric"":""euclidean"",""minPts"":10,""post_alloc"":false,""radius"":0.95,""sorting"":""pca""}",8,5,total_events|active_days|cart_per_view|transaction_per_view|activity_span_days,True,False,1,1.0,,,,0.0,0.0,0,0.0
